apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2022\2022-03\2022-03-08 17.23.25 [e3da8089].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.23.25 [5e0922b1].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.23.50 [324d92fe].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.23.50 [7e15e10a].jpg,1,3970x5947,3970x5947,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.26.54 [80765806].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.26.54 [9597fe14].jpg,1,5752x3840,5752x3840,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.32.26 [d380eb17].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.32.26 [239a3aa3].jpg,1,3761x5634,3761x5634,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.38.35 [82b580c9].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.38.35 [6c2384b4].jpg,1,3788x5674,3788x5674,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.41.31 [6d8f1eba].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.41.31 [4c5be1e2].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.50.57 [5aa4e5e2].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.50.57 [edd82295].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.52.35 [ba7efef0].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.52.35 [6900c462].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.54.46 [64713d95].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.54.46 [b8cbd03e].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.54.56 [9402e701].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.54.56 [a5adb7c5].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.55.12 [9b0b9ab7].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.55.12 [66339f26].jpg,1,3860x5782,3860x5782,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.56.11 [277351dc].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.56.11 [240b17c2].jpg,1,3933x5891,3933x5891,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 08.57.43 [6db77f04].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 08.57.43 [96e6d368].jpg,1,3918x5869,3918x5869,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 08.58.20 [204e3028].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 08.58.20 [3e1c8225].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.00.53 [f3ccf2da].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.00.53 [b3f531e4].jpg,1,3844x5758,3844x5758,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.03.38 [19dce292].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.03.38 [66d0f98e].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.04.18 [e3018e43].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.04.18 [486ffa7f].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.07.48 [9e9e0d47].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.07.48 [e1ee08a1].jpg,1,5142x3433,5142x3433,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.07.53 [5ee55084].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.07.53 [735d4a31].jpg,1,5601x3739,5601x3739,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.18.33 [631a7683].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.18.33 [096b3792].jpg,1,5845x3902,5845x3902,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.28.16 [5e2606c1].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.28.16 [40835603].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.36.53 [108a29cc].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.36.53 [f8e537e2].jpg,1,3850x5767,3850x5767,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.38.58 [239ab546].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.38.58 [d42e7ddc].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.40.16 [5e12bcd3].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.40.16 [164b594f].jpg,1,3712x5561,3712x5561,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.45.32 [a1f99ffc].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.45.32 [819959bd].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.45.56 [eab12a40].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.45.56 [6d3bcffe].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 09.48.13 [a524e721].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.48.13 [9c20418c].jpg,1,3895x5835,3895x5835,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.03.22 [4b882029].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.03.22 [5e4993b2].jpg,1,5955x3975,5955x3975,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.05.18 [63a3b313].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.05.18 [e7eba815].jpg,1,5895x3935,5895x3935,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.05.53 [d55e0165].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.05.53 [4b8a57f1].jpg,1,3670x5498,3670x5498,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.28.20 [730756dd].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.28.20 [0ffd9d2f].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.28.58 [16eb6f24].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.28.58 [4064559e].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-13 18.43.18 [1d8575b9].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.41.44 [0b27b57b].jpg,1,1440x961,5900x3939,R1_derivada
D:\MÍDIA\2022\2022-03\2022-03-09 10.45.58 [b0f2afd3].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.45.58 [eb12c759].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.50.18 [031f930c].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.50.18 [732ab1cc].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.50.18 [d406d647].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.50.18 [550c7db6].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.50.21 [d964f3a8].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.50.21 [a195adbc].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 10.50.44 [df8cfea8].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.50.44 [52ce4e43].jpg,1,3949x5916,3949x5916,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.12.37 [3b3cf72d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.12.37 [3eeb2e80].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.12.52 [c0cdabe7].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.12.52 [c1d23c54].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.13.23 [62d7533d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.13.23 [16dc72f6].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.14.39 [9ee9be37].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.14.39 [1fabc834].jpg,1,3951x5919,3951x5919,R2_recompressao
