"Rel","Nivel","Cat","ArqDiretos","SubPastas"
"05 - Jurídico e trabalho\Propaganda eleitoral","2","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TCE_MS","2","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\TOTALIZAÇÃO","2","05 - Jurídico e trabalho","25","1"
"05 - Jurídico e trabalho\TSE","2","05 - Jurídico e trabalho","32","11"
"05 - Jurídico e trabalho\CONLE\Curso de formação","3","05 - Jurídico e trabalho","18","0"
"05 - Jurídico e trabalho\CONLE\PROMPTs CONLE","3","05 - Jurídico e trabalho","21","0"
"05 - Jurídico e trabalho\CONLE\REDES SOCIAIS","3","05 - Jurídico e trabalho","17","0"
"05 - Jurídico e trabalho\CONLE\SESSÕES PLENÁRIAS","3","05 - Jurídico e trabalho","11","0"
"05 - Jurídico e trabalho\CONLE\STs","3","05 - Jurídico e trabalho","29","7"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111","4","05 - Jurídico e trabalho","1","3"
"05 - Jurídico e trabalho\CONLE\STs\INFO TÉCNICA","4","05 - Jurídico e trabalho","10","0"
"05 - Jurídico e trabalho\CONLE\STs\PARECERES","4","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\CONLE\STs\PROMPTS da Conle","4","05 - Jurídico e trabalho","18","0"
"05 - Jurídico e trabalho\CONLE\STs\PROPOSIÇÕES","4","05 - Jurídico e trabalho","12","0"
"05 - Jurídico e trabalho\CONLE\STs\Resoluções","4","05 - Jurídico e trabalho","33","0"
"05 - Jurídico e trabalho\CONLE\STs\TVR","4","05 - Jurídico e trabalho","18","0"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados","5","05 - Jurídico e trabalho","2","3"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\informação técnica","5","05 - Jurídico e trabalho","0","0"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts","5","05 - Jurídico e trabalho","3","1"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\brutos_TSE","6","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\entrada","6","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\resultados","6","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts\tse_fundos","6","05 - Jurídico e trabalho","9","0"
