manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\2016\2016-05\2016-05-01 16.55.40 [8a5fe74e].jpg,D:\MÍDIA\2016\2016-05\2016-05-01 16.55.41 [9e7fc988].jpg,2,5312x2988,5312x2988,rajada/incerto
D:\MÍDIA\0000 SEM DATA\Sem ano\19071 [a0c0b7cd].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2016\2016 [bfaa57ca].jpg,2,622x679,622x679,rajada/incerto
D:\MÍDIA\2013\2013-12\2013-12-20 11.29.01 [07b7d4a7].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,5,4320x3240,5312x2988,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-26 16.50.52 [c43538f6].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,4,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-26 16.50.50 [17206788].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,3,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-26 16.50.50 [d42c0c2f].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,4,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-09 20.58.46 [7cdf184b].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,4,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2025\2025-12\2025-12-03 06.53.07 [9c673af8].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.46.27 [3ea7555e].jpg,5,4000x3000,5312x2988,rajada/incerto
D:\MÍDIA\2016\2016-06\2016-06-12 15.48.47 [842a9890].jpg,D:\MÍDIA\2016\2016-06\2016-06-12 15.48.45 [a6897eaa].jpg,1,5312x2988,5312x2988,rajada/incerto
D:\MÍDIA\2018\2018-12\2018-12-16 18.58.23 [eb3abef2].jpg,D:\MÍDIA\2018\2018-12\2018-12-16 18.58.23 [c9fefb89].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-12\2018-12-16 19.18.19 [a38b3b6c].jpg,D:\MÍDIA\2018\2018-12\2018-12-16 19.18.17 [c1077cdd].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-12\2018-12-16 19.18.53 [eba29616].jpg,D:\MÍDIA\2018\2018-12\2018-12-16 19.18.56 [23e7ec29].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-12\2018-12-27 11.02.52 [48becd27].jpg,D:\MÍDIA\2018\2018-12\2018-12-27 11.02.54 [13e190bb].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-01\2019-01-01 14.13.23 [0fc0897f].jpg,D:\MÍDIA\2019\2019-01\2019-01-01 14.13.24 [77cc931d].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-09 10.39.16 [ff48f86c].jpg,D:\MÍDIA\2019\2019-02\2019-02-09 10.39.19 [001289b5].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-09 16.11.00 [70fd14b7].jpg,D:\MÍDIA\2019\2019-02\2019-02-09 16.10.58 [5a43ecd2].jpg,1,3264x1592,3264x1592,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-09 18.49.36 [456e4a0e].jpg,D:\MÍDIA\2019\2019-02\2019-02-09 18.49.35 [9db5699f].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-06 09.35.17 [9166032e].jpg,D:\MÍDIA\2019\2019-07\2019-07-06 09.35.19 [de755aea].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-19 21.23.40 [bba418ac].jpg,D:\MÍDIA\2019\2019-07\2019-07-19 21.23.36 [15d09191].jpg,2,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-19 21.23.38 [0074a4ed].jpg,D:\MÍDIA\2019\2019-07\2019-07-19 21.23.36 [15d09191].jpg,2,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-19 21.24.31 [ab00ca06].jpg,D:\MÍDIA\2019\2019-07\2019-07-19 21.24.30 [825146f8].jpg,1,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 11.29.44 [5392bfba].jpg,D:\MÍDIA\2019\2019-08\2019-08-09 16.33.19 [c8618289].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 11.54.34 [4e890710].jpg,D:\MÍDIA\2019\2019-08\2019-08-09 11.54.48 [2b863911].jpg,3,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 11.54.49 [7e576d7e].jpg,D:\MÍDIA\2019\2019-08\2019-08-09 11.54.48 [2b863911].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 12.19.52 [53656416].jpg,D:\MÍDIA\2019\2019-08\2019-08-09 12.19.51 [88f80747].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 12.19.52 [8c40fee8].jpg,D:\MÍDIA\2019\2019-08\2019-08-09 12.19.51 [88f80747].jpg,4,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-22 21.32.01 [69185d52].jpg,D:\MÍDIA\2019\2019-12\2019-12-22 21.32.02 [08103a31].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-22 21.37.31 [f82e4ab1].jpg,D:\MÍDIA\2019\2019-12\2019-12-22 21.37.32 [d7697850].jpg,1,4032x1960,4032x1960,rajada/incerto
