manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [381b1afb].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [04ce2ea9].jpg,2,1280x853,1280x853,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [a6e6fc44].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [6da56f9c].jpg,1,853x1280,853x1280,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [bf1c5657].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [ddf90bf3].jpg,2,1280x853,1280x853,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [af4d5863].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [a50fd9b8].jpg,2,853x1280,853x1280,rajada/incerto
D:\MÍDIA\2013\2013-10\2013-10-08 22.59.08 [65ff7091].jpg,D:\MÍDIA\2013\2013-10\2013-10-08 22.59.09 [b0868e63].jpg,1,850x1280,850x1280,rajada/incerto
D:\MÍDIA\2013\2013-10\2013-10-08 22.59.09 [bc4c8388].jpg,D:\MÍDIA\2013\2013-10\2013-10-08 22.59.08 [e5fc4476].jpg,2,850x1280,850x1280,rajada/incerto
D:\MÍDIA\2013\2013-10\2013-10-08 22.59.25 [4fabd636].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [e08c0b06].jpg,2,850x1280,850x1280,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [6a2eed4d].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [7bcd412f].jpg,2,850x1280,850x1280,rajada/incerto
D:\MÍDIA\2013\2013-10\2013-10-08 22.59.52 [947ef5df].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [c30eebcb].jpg,2,850x1280,850x1280,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [400efb16].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [db0a50ec].jpg,2,850x1280,850x1280,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [e1664cb7].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [7a914546].jpg,4,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [916171ac].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [7a914546].jpg,1,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [89b1d30b].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [7a914546].jpg,2,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [df82c17f].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [c3ef5362].jpg,1,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [7ea3151c].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [c3ef5362].jpg,1,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [00100899].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Casamento do Vinícius\2013 [66e7efde].jpg,1,1280x850,1280x850,rajada/incerto
D:\MÍDIA\0000 SEM DATA\Documentos\2017-12-04 16.01.50 [5f07de37].jpg,D:\MÍDIA\0000 SEM DATA\Documentos\2017-12-04 16.01.55 [b9e9c5b3].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-08 11.47.59 [735645e9].jpg,D:\MÍDIA\2017\2017-12\2017-12-08 11.48.00 [f35e5320].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-08 11.47.59 [30155be5].jpg,D:\MÍDIA\2017\2017-12\2017-12-08 11.48.00 [f35e5320].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.30.56 [e444f1ef].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.31.00 [26697c31].jpg,1,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.31.42 [94d2e668].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.31.41 [5c0fb359].jpg,1,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [b994e500].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [f6e17be1].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.35.16 [9c0d2c19].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [f6e17be1].jpg,4,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [c00b9ee8].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [f6e17be1].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [7bee8af0].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [f6e17be1].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [2c80f585].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.35.15 [f6e17be1].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [ef45b17e].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [e3fe048f].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [198205bd].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [e3fe048f].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [d4cd1820].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.36.50 [e3fe048f].jpg,4,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.36.56 [9f7db18e].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.36.56 [bb5bc83f].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2017\2017-12\2017-12-24 21.36.56 [2ef3ae88].jpg,D:\MÍDIA\2017\2017-12\2017-12-24 21.36.56 [bb5bc83f].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [83b9a60f].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [44157279].jpg,3,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [572bd0d2].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [44157279].jpg,3,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.25.19 [c105aea0].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [44157279].jpg,6,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.25.19 [8b684316].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [44157279].jpg,5,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [37285dbc].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.25.20 [44157279].jpg,2,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.26.54 [621831ad].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.26.55 [320cbddd].jpg,5,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.26.54 [47b286b1].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.26.55 [320cbddd].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.26.55 [201d3377].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.26.55 [320cbddd].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.29.58 [3dc90f49].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [07145b64].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [a2de6c9b].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [07145b64].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [7c7b0689].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [07145b64].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [4d25caba].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [07145b64].jpg,5,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [f2326a1f].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.29.57 [07145b64].jpg,5,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 19.38.05 [e1823213].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 19.38.04 [158fcf03].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 22.09.26 [03c57be2].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 22.09.26 [a9a77778].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-13 22.11.28 [bd1658a1].jpg,D:\MÍDIA\2018\2018-01\2018-01-13 22.11.26 [25298c67].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-20 19.17.16 [fac21391].jpg,D:\MÍDIA\2018\2018-01\2018-01-20 19.17.18 [7d8aaf17].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-20 19.17.35 [1cc29247].jpg,D:\MÍDIA\2018\2018-01\2018-01-20 19.17.33 [487a3957].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-01\2018-01-27 18.46.09 [3d3f72cc].jpg,D:\MÍDIA\2018\2018-01\2018-01-27 18.46.08 [5f08204c].jpg,1,3024x4032,3024x4032,rajada/incerto
D:\MÍDIA\2019\2019-03\2019-03-25 18.41.00 [a0488f36].jpg,D:\MÍDIA\2019\2019-03\2019-03-25 18.40.48 [b6a6f778].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-03\2019-03-29 19.20.06 [98a4b05b].jpg,D:\MÍDIA\2019\2019-03\2019-03-29 19.20.08 [e100a9e1].jpg,4,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-03\2019-03-29 19.20.07 [ce7d392b].jpg,D:\MÍDIA\2019\2019-03\2019-03-29 19.20.08 [e100a9e1].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-04\2019-04-19 16.08.53 [d38ef181].jpg,D:\MÍDIA\2019\2019-04\2019-04-19 16.08.51 [3f25b6ab].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-04\2019-04-19 16.15.51 [a6d4a70d].jpg,D:\MÍDIA\2019\2019-04\2019-04-19 16.15.49 [eab9e38e].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-04\2019-04-19 16.15.56 [2fac4df6].jpg,D:\MÍDIA\2019\2019-04\2019-04-19 16.15.55 [192cf9b6].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-04\2019-04-20 15.49.19 [77ccd31d].jpg,D:\MÍDIA\2019\2019-04\2019-04-20 15.49.18 [9e8f0c46].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-04\2019-04-20 15.49.20 [2580ed7e].jpg,D:\MÍDIA\2019\2019-04\2019-04-20 15.49.18 [9e8f0c46].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-19 17.34.14 [0f7734cb].jpg,D:\MÍDIA\2019\2019-07\2019-07-19 17.34.12 [c951359e].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-06 18.24.44 [358b02e6].jpg,D:\MÍDIA\2019\2019-08\2019-08-06 18.24.42 [bd6a62ea].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-09\2019-09-01 13.56.38 [38d7ec44].jpg,D:\MÍDIA\2019\2019-09\2019-09-01 13.56.36 [25cd4636].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-09\2019-09-20 19.35.17 [9c880c82].jpg,D:\MÍDIA\2019\2019-09\2019-09-20 19.35.15 [c954b9c3].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-09\2019-09-20 19.37.46 [71f563da].jpg,D:\MÍDIA\2019\2019-09\2019-09-20 19.37.47 [2ac2851a].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-09\2019-09-20 19.37.49 [4424a481].jpg,D:\MÍDIA\2019\2019-09\2019-09-20 19.37.47 [2ac2851a].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-05 14.42.31 [75db9937].jpg,D:\MÍDIA\2019\2019-10\2019-10-05 14.42.29 [d7783b66].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-27 09.56.43 [d9cf6115].jpg,D:\MÍDIA\2019\2019-10\2019-10-27 09.56.45 [b8a786c0].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-27 10.04.38 [1ba4a949].jpg,D:\MÍDIA\2019\2019-10\2019-10-27 10.04.36 [dcaad817].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-28 10.31.10 [7fb48639].jpg,D:\MÍDIA\2019\2019-10\2019-10-28 10.31.09 [29e3e7dd].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-28 10.31.12 [698cada5].jpg,D:\MÍDIA\2019\2019-10\2019-10-28 10.31.11 [8b36f10f].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-28 13.41.46 [1fe13b66].jpg,D:\MÍDIA\2019\2019-10\2019-10-28 13.41.44 [521246f5].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-28 15.15.36 [c1c5939c].jpg,D:\MÍDIA\2019\2019-10\2019-10-28 15.15.36 [f51c6b84].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-21 22.37.20 [3f9b6174].jpg,D:\MÍDIA\2019\2019-12\2019-12-21 22.37.15 [8e62e69c].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-21 22.38.03 [6caa39cf].jpg,D:\MÍDIA\2019\2019-12\2019-12-21 22.38.02 [7f704ecf].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-21 22.40.28 [8b53a74f].jpg,D:\MÍDIA\2019\2019-12\2019-12-21 22.40.29 [1ed2638c].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-21 22.40.31 [d3ee854b].jpg,D:\MÍDIA\2019\2019-12\2019-12-21 22.40.29 [1ed2638c].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-21 22.46.34 [3019d869].jpg,D:\MÍDIA\2019\2019-12\2019-12-21 22.46.29 [433ab190].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-24 22.19.32 [91634ce5].jpg,D:\MÍDIA\2019\2019-12\2019-12-24 22.19.30 [0fd38131].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-28 11.44.22 [5e1da087].jpg,D:\MÍDIA\2019\2019-12\2019-12-28 11.44.24 [e6df2228].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 09.43.28 [e1246147].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 09.43.29 [acfb59d3].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 09.43.27 [51bb6c18].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 09.43.29 [acfb59d3].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 09.46.12 [77d93c78].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 09.46.06 [7eb92dab].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 09.46.53 [478e6110].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 09.46.54 [0cd91d07].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 11.40.33 [46698cf6].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 11.40.34 [1f11a86d].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-12 18.21.55 [ab9b4d21].jpg,D:\MÍDIA\2020\2020-01\2020-01-12 18.21.53 [04002a0b].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 10.16.47 [f11e2a33].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 10.16.51 [8cbc0f33].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 10.17.34 [e58a1955].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 10.17.33 [7592cc59].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 10.17.32 [e2949394].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 10.17.33 [7592cc59].jpg,3,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 10.45.38 [621b217e].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 10.45.39 [2ec4ab81].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 10.46.27 [f8fc05fc].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 10.46.28 [1e71435f].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.34.49 [f9d7ec03].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.34.51 [35855842].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.34.47 [2558e85c].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.34.51 [35855842].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.35.03 [ab55105b].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.35.01 [eb1d3bb7].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.35.00 [f49105eb].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.35.01 [eb1d3bb7].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.35.18 [fada3eff].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.35.19 [1485c6e3].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-14 14.35.21 [c3956732].jpg,D:\MÍDIA\2020\2020-02\2020-02-14 14.35.26 [a42a720f].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-15 15.10.15 [2cef58e5].jpg,D:\MÍDIA\2020\2020-02\2020-02-15 15.10.13 [15f5360e].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-15 15.11.31 [d860b2f9].jpg,D:\MÍDIA\2020\2020-02\2020-02-15 15.11.33 [170273ef].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-07\2020-07-02 20.02.44 [8b161b0c].jpg,D:\MÍDIA\2020\2020-02\2020-02-16 12.01.32 [abb2bb2d].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 12.34.33 [a761c661].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 12.34.29 [cddc2874].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 15.21.43 [cc6654bc].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 15.21.42 [fe7a5c30].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.20 [897f9e95].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.22 [17b7398c].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.29 [d9efa2c8].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.30 [3e1d9f4e].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.28 [f2103928].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.30 [3e1d9f4e].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.27 [12e64894].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.30 [3e1d9f4e].jpg,4,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.26 [402be952].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.30 [3e1d9f4e].jpg,5,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.24 [372e1459].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.30 [3e1d9f4e].jpg,6,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.06.46 [f1e34bc2].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.06.44 [12a68f5a].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.13.09 [d89cd515].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.13.08 [24867815].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.13.12 [c19122cb].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.13.15 [15159b6a].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-23 18.21.12 [7d954d17].jpg,D:\MÍDIA\2020\2020-02\2020-02-23 18.21.11 [88c15d09].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-05\2020-05-01 12.25.47 [c8e5bafa].jpg,D:\MÍDIA\2020\2020-05\2020-05-01 12.25.49 [5a27993c].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-05\2020-05-01 12.25.50 [6933f500].jpg,D:\MÍDIA\2020\2020-05\2020-05-01 12.25.49 [5a27993c].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-05\2020-05-01 12.26.42 [03002b7d].jpg,D:\MÍDIA\2020\2020-05\2020-05-01 12.26.41 [ae6cd4a4].jpg,1,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-08\2020-08-29 18.11.36 [a0d57c7c].jpg,D:\MÍDIA\2020\2020-08\2020-08-29 18.11.39 [051b360d].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-08\2020-08-29 18.11.41 [dc88180c].jpg,D:\MÍDIA\2020\2020-08\2020-08-29 18.11.39 [051b360d].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2020\2020-09\2020-09-05 17.20.35 [ffb5536d].jpg,D:\MÍDIA\2020\2020-09\2020-09-05 17.20.33 [b6bf780f].jpg,1,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-09\2020-09-05 17.20.36 [780569e9].jpg,D:\MÍDIA\2020\2020-09\2020-09-05 17.20.33 [b6bf780f].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 16.15.13 [8a9276c3].jpg,D:\MÍDIA\2021\2021-01\2021-01-22 14.09.06 [d1d31bdb].jpg,2,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2018\2018-09\2018-09-23 04.54.32 [2933d5c8].jpg,D:\MÍDIA\2021\2021-01\2021-01-22 14.09.06 [d1d31bdb].jpg,4,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-09\2020-09-07 17.51.14 [adc6b488].jpg,D:\MÍDIA\2021\2021-01\2021-01-22 14.09.06 [d1d31bdb].jpg,5,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2026\2026-05\2026-05-06 11.52.16 [075b745e].jpg,D:\MÍDIA\2021\2021-01\2021-01-22 14.09.06 [d1d31bdb].jpg,3,4000x3000,4032x3024,rajada/incerto
D:\MÍDIA\2020\2020-10\2020-10-08 12.53.50 [3a136d52].jpg,D:\MÍDIA\2020\2020-10\2020-10-08 12.53.55 [98043ef0].jpg,2,3264x2448,3264x2448,rajada/incerto
D:\MÍDIA\2019\2019-08\2019-08-09 07.41.31 [1eac8bd6].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2019-08-09 07.40.34 [ef3e5591].jpg,2,1080x1080,1080x1090,rajada/incerto
D:\MÍDIA\2019\2019-10\2019-10-12 20.10.23 [762059c4].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2019-10-12 20.08.46 [6e017f63].jpg,1,1074x1074,1080x1074,rajada/incerto
D:\MÍDIA\2020\2020-01\2020-01-18 16.59.13 [a4ab520e].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2020-01-18 16.56.32 [d884e2cb].jpg,2,1080x1080,1080x1088,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-08 [76dc7334].jpg,D:\MÍDIA\2019\2019-02\2019-02-08 [2033baf8].jpg,2,1280x960,1280x960,rajada/incerto
D:\MÍDIA\2019\2019-02\2019-02-12 [b7810686].jpg,D:\MÍDIA\2019\2019-02\2019-02-12 [d114939e].jpg,2,1280x960,1280x960,rajada/incerto
D:\MÍDIA\2018\2018-03\2018-03-03 13.27.35 [830e9341].jpg,D:\MÍDIA\2018\2018-03\2018-03-03 13.27.35 [8219892e].jpg,3,4032x3024,4032x3024,rajada/incerto
