"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt JSON Gemini - Criador de mapa mental jurídico.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JSON Gemini - Criador de mapa mental jurídico (2).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt JurisConsultor IA (Comentador) - concursos jurídicos.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JurisConsultor IA (Comentador) - concursos jurídicos.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt YouTube - análise técnica de aula em vídeo (juiz federal).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\YouTube - análise técnica de aula em vídeo (juiz federal).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompts - tabelas didáticas de legislação para concursos.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas didáticas de legislação para concursos.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\Prompt - recurso de nota em prova de sentença criminal - TRF1.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso de nota em prova de sentença criminal - TRF1.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Prompt - tabela de questões objetivas TRF6.txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabela de questões objetivas TRF6.txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas de Sentença\Prompt - Elaboração de sentença penal (árvore e modelo criminal).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Elaboração de sentença penal (árvore e modelo criminal).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\RECURSOS DISCURSIVAS\Prompt - recurso para discursiva da magistratura federal (TRF6).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso para discursiva da magistratura federal (TRF6).docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\GRUPO TSE\Abordagem histórica\Prompt - assistente para registro de atas de julgamento (Grupo TSE).txt","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Assistente para registro de atas de julgamento (Grupo TSE).txt"
"Mover","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\Prompt - relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt - explicação de DVS (destaque de votação em separado).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação de DVS (destaque de votação em separado).rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt explicação destaque emenda CONLE.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação destaque emenda CONLE.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt Parecer Emendas de Plenário - APROVA.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer Emendas de Plenário - APROVA.rtf"
