coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,MONICK EZEQUIEL CHAVES DE SOUSA,blue,blue,0
advogados,BRENO HENRIQUE DA SILVA CARVALHO,green,green,0
advogados,RHANNA CRISTINA UMBELINO DIOGENES,purple,purple,0
advogados,LUCAS COSTA FREIRE LUZARDO,gray,gray,0
advogados,Cláudio Bruno Chagas de Almeida,gray,gray,0
advogados,Eduardo Gonçalves dos Santos Alves,green,green,0
advogados,MAICE JANINA COELHO DE ANDRADE,purple,purple,0
advogados,LUCIANO ALVES DANIEL,brown,brown,0
advogados,LUAN FERNANDES PARENTE GARCIA,purple,purple,0
advogados,ALLYSON DUARTE SILVA LIMA,purple,purple,0
advogados,GUILHERME TADEU ALBUQUERQUE BARBOSA,purple,purple,0
advogados,Ricardo Marcelino Braga,blue,blue,0
advogados,Raoni Cézar Diniz Gomes,default,default,0
advogados,RODRIGO KAWAMURA,default,default,0
advogados,RICARDO VITA PORTO,green,green,0
advogados,GUILHERME GIOMETTI SANTINHO,gray,gray,0
advogados,FERNANDO GASPAR NEISSER,pink,pink,0
advogados,LETICIA MAESTA,yellow,yellow,0
advogados,LILIAN DE OLIVEIRA DIAS,default,default,0
advogados,NATALIA RODRIGUES RUBINELLI,yellow,yellow,0
advogados,ULISSES MACIEL PEIXOTO MENDONCA,blue,blue,0
advogados,PAULO HAMILTON SIQUEIRA JUNIOR,blue,blue,0
advogados,FRANCISCO OCTAVIO DE ALMEIDA PRADO FILHO,purple,purple,0
advogados,DANILO TRINDADE DE MORAIS,purple,purple,0
advogados,GABRIELA VILELA BUZZO,green,green,0
advogados,KATIANNE CINTIA CORREA ROCHA,purple,purple,0
advogados,Caio Vitor Ribeiro Barbosa,orange,orange,0
advogados,Jandson Sandro de Paiva,green,green,0
advogados,Thales de Lima Goes Filho,brown,brown,0
advogados,Aline Alves de Lima,pink,pink,0
advogados,Gustavo Swain Kfouri,brown,brown,0
advogados,Victor Guilherme Lopes Fontenelle,default,default,0
advogados,JOSE ITAMAR RIBEIRO,gray,gray,0
advogados,JOSE BONFIM DE ALMEIDA JUNIOR,red,red,0
advogados,LEONARDO WANDEMBERG LIMA BATISTA,pink,pink,0
advogados,JOSE ALBERTO DA SILVA,gray,gray,0
advogados,TIAGO FRAGOSO VIEIRA,green,green,0
advogados,Ricardo Pedroso Stella,purple,purple,0
advogados,HERMANN DE ALMEIDA MELO,purple,purple,0
advogados,CARLOS CHRISTIAN REIS TEIXEIRA,default,default,0
advogados,FLAVIO HENRIQUE UNES PEREIRA,default,default,0
advogados,BARBARA MENDES LOBO AMARAL,default,default,0
advogados,DANIEL DE CASTRO MAGALHAES,green,green,0
advogados,HEFFREN NASCIMENTO DA SILVA,pink,pink,0
advogados,PEDRO RAPHAEL VIEIRA MELO,green,green,0
advogados,RAFAEL DA SILVA ALVIM,purple,purple,0
advogados,RAPHAEL ROCHA DE SOUZA MAIA,gray,gray,0
advogados,THALITA CALLEGARO,pink,pink,0
advogados,THIAGO BARRA DE SOUZA,orange,orange,0
advogados,MARILDA DE PAULA SILVEIRA,brown,brown,0
advogados,RAPHAEL ROCHA DE SOUZA MAIA - DF5,purple,purple,0
advogados,ANNA CAROLINA GAIA DUARTE CARDOSO,orange,orange,0
advogados,ARTHUR DE ARAUJO CARDOSO NETTO,default,default,0
advogados,ARTUR VASCONCELOS CERQUEIRA CAVALCANTE,pink,pink,0
advogados,BRENO GAIA DUARTE UCHOA,default,default,0
advogados,CLEANE AMORIM SIBALDO PERGENTINO VIEIRA,blue,blue,0
advogados,FILIPE ANDRE BITTENCOURT ROCHA DE FRANCA,pink,pink,0
advogados,MICHEL ALMEIDA GALVAO,orange,orange,0
advogados,ROGERIO DA SILVA BEZERRA FILHO,green,green,0
advogados,VICTOR DARTAGNAN NEVES PINTO,green,green,0
advogados,FERNANDO CESAR VILHENA MOREIRA LIMA JUNIOR,default,default,0
advogados,CAIO HENRIQUE BOHADANA TESSARO,blue,blue,0
advogados,TATIANE ALVES DA SILVA,red,red,0
advogados,ALEXANDRE TADEU DE MORAES ARAUJO,brown,brown,0
advogados,IRLA OHARA DA SILVA PEREIRA,pink,pink,0
advogados,THAIS BELICHE COSTA,gray,gray,0
advogados,DIEGO GOUVEIA ARANTES DOS REIS,purple,purple,0
advogados,PETRONIO GOMES DE SOUSA,gray,gray,0
advogados,TAMIA CRISTINA CASTRO DE SOUZA,orange,orange,0
advogados,ROBSON TAVARES GONCALVES,blue,blue,0
advogados,ANTONIO EUDES NUNES DA COSTA FILHO,yellow,yellow,0
advogados,JESSICA DAYSE FERNANDES MONTEIRO,green,green,0
advogados,HELEN NUNES COSMO DA FONSECA,default,default,0
advogados,RAFAEL MOTA REIS,green,green,0
advogados,RAUL LUSTOSA BITTENCOURT DE ARAUJO,orange,orange,0
advogados,ANA CAROLINE NORONHA FEITOSA,red,red,0
advogados,ANA LUIZA BARROSO CARACAS DE CASTRO,pink,pink,0
advogados,JOYCE GONCALVES SILVA,orange,orange,0
advogados,ERIK JOSEILSON ABREU DE OLIVEIRA,green,green,0
advogados,ANTONIO RIMAYCON FERNANDES GONCALVES,brown,brown,0
advogados,CASSIO FELIPE GOES PACHECO,yellow,yellow,0
advogados,LIVIA CHAVES LEITE,blue,blue,0
advogados,CID MARCONI GURGEL DE SOUZA FILHO,yellow,yellow,0
advogados,SARA CAMPELO SOMBRA,purple,purple,0
advogados,CASSIO FELIPE,gray,gray,0
advogados,Gustavo Guilherme Bezerra Kanffer,blue,blue,0
advogados,Tarcisio Vieira de Carvalho Neto,blue,blue,0
advogados,Gabriel Rigotti de Ávila e Silva,green,green,0
advogados,WELLITON APARECIDO NAZARIO - MG205575-A Repre,pink,pink,0
advogados,LEONARDO MAIA NASCIMENTO,brown,brown,0
advogados,ARTHUR SISO PINHEIRO,brown,brown,0
advogados,BIANCA RIBEIRO LOBATO,brown,brown,0
advogados,MURILLO GUERREIRO SOUZA,green,green,0
advogados,ANA REBECCA MANITO LITAIFF,purple,purple,0
advogados,KASSIA RIQUE DE OLIVEIRA SHERRING,pink,pink,0
advogados,LEONARDO SA DE BARROS SOUZA,purple,purple,0
advogados,NAIADE NUNES PINTO DOS REIS,green,green,0
advogados,BHRENNA BRITO MEDEIROS,pink,pink,0
advogados,PAULA ANDREA MESSEDER ZAHLUTH,purple,purple,0
advogados,BRENDA SFAIR NOBREGA,blue,blue,0
advogados,JULIANA DE PAULA KARRQVIST,pink,pink,0
advogados,AGNELO SAD JUNIOR,blue,blue,0
advogados,JOSE SAD JUNIOR,default,default,0
advogados,MICHELLE LIGUORI DO NASCIMENTO,purple,purple,0
advogados,BRUNO DE MENDONCA PEREIRA CUNHA,purple,purple,0
advogados,DIEGO DE ARAUJO LIMA,brown,brown,0
advogados,Fernando Carlos Dilen da Silva,red,red,0
advogados,Dayanne Karen dos Santos Rodrigues,green,green,0
advogados,RODRIGO FERREIRA MACIEL,orange,orange,0
advogados,Evandro Monteiro dos Santos,blue,blue,0
