"ID","Nome (Artigo)","Texto do Artigo"
"35","Art. 15, II, b)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, b)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
b) coagindo outrem para a execução material da infração;"
"36","Art. 15, II, c)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, c)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
c) afetando ou expondo a perigo, de maneira grave, a saúde pública ou o meio ambiente;"
"37","Art. 15, II, d)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, d)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
d) concorrendo para danos à propriedade alheia;"
"38","Art. 15, II, e)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, e)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
e) atingindo áreas de unidades de conservação ou áreas sujeitas, por ato do Poder Público, a regime especial de uso;"
"39","Art. 15, II, f)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, f)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
f) atingindo áreas urbanas ou quaisquer assentamentos humanos;"
"40","Art. 15, II, g)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, g)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
g) em período de defeso à fauna;"
"41","Art. 15, II, h)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, h)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
h) em domingos ou feriados;"
"42","Art. 15, II, i)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, i)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
i) à noite;"
"43","Art. 15, II, j)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, j)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
j) em épocas de seca ou inundações;"
"44","Art. 15, II, l)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, l)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
l) no interior do espaço territorial especialmente protegido;"
"45","Art. 15, II, m)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, m)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
m) com o emprego de métodos cruéis para abate ou captura de animais;"
"46","Art. 15, II, n)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, n)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
n) mediante fraude ou abuso de confiança;"
"47","Art. 15, II, o)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, o)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
o) mediante abuso do direito de licença, permissão ou autorização ambiental;"
"48","Art. 15, II, p)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, p)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
p) no interesse de pessoa jurídica mantida, total ou parcialmente, por verbas públicas ou beneficiada por incentivos fiscais;"
