origem,destino,sha1_esperado,status
BEs 1933\JULHO\12\99357\00000011.pdf,D:\TSJE_ATAS\1933\1933-07-12 - BE n112 [99357].pdf,ac1dc0626fcd06c34d9633e965a94b701ba068ce,ok
BEs 1933\JULHO\17\99361\00000015.pdf,D:\TSJE_ATAS\1933\1933-07-17 - BE n114 [99361].pdf,7fb08bf68a9da136e1ade40da4a4a1ec4b8b41e0,ok
BEs 1933\JULHO\19\99362\00000016.pdf,D:\TSJE_ATAS\1933\1933-07-19 - BE n115 [99362].pdf,54f5192282346d4a0c0441340296ee8d752aea9f,ok
BEs 1933\JULHO\22\99363\00000017.pdf,D:\TSJE_ATAS\1933\1933-07-22 - BE n116 [99363].pdf,a5d01ad1337e451fc0841f083afed9dbc8f9878c,ok
BEs 1933\JULHO\26\99482\00000001.pdf,D:\TSJE_ATAS\1933\1933-07-26 - BE n117 [99482].pdf,7b1d49a3cf628f95c8fecf5cc9f5ac34037d51e7,ok
BEs 1933\JULHO\29\99484\00000003.pdf,D:\TSJE_ATAS\1933\1933-07-29 - BE n118 [99484].pdf,0229267c7ecf1c46d398eca7e03761c3560dc567,ok
BEs 1933\AGOSTO\02\99495\00000001.pdf,D:\TSJE_ATAS\1933\1933-08-02 - BE [99495].pdf,ba74722d364297bb95dd3ba8e445f466147bfad7,ok
BEs 1933\AGOSTO\02\99495\00000005 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-02 - BE n119 [99495].pdf,1dbb248424d4106d63e491c78bebd87f3a1e07e5,ok
BEs 1933\AGOSTO\05\99501\00000002.pdf,D:\TSJE_ATAS\1933\1933-08-05 - BE n120 [99501].pdf,02b2bc9cb0cac9a3cf82da0e3b15b0380872c3d0,ok
BEs 1933\AGOSTO\05\99501\00000006 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-05 - BE n120 [99501] (2).pdf,af135a07155e7bf09f9f5f06945c669bde3296bf,ok
BEs 1933\AGOSTO\09\99507\00000003.pdf,D:\TSJE_ATAS\1933\1933-08-09 - BE n121 [99507].pdf,4ed46a7e602ec32c073363b038c6ba20ebf28916,ok
BEs 1933\AGOSTO\09\99507\00000007 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-09 - BE n121 [99507] (2).pdf,ad2e858f74c819b0f9a6911b01611fc8d47aa1ac,ok
BEs 1933\AGOSTO\12\99508\00000004.pdf,D:\TSJE_ATAS\1933\1933-08-12 - BE n003 [99508].pdf,345b6f3cdf134f11c5fd7a62902a7a4389dc8f80,ok
BEs 1933\AGOSTO\12\99508\00000008 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-12 - BE n003 [99508] (2).pdf,23b544415deeb71c6807a276025265f305064f69,ok
BEs 1933\AGOSTO\16\99512\00000005.pdf,D:\TSJE_ATAS\1933\1933-08-16 - BE n123 [99512].pdf,de8328a544d132dda215ddca991a5ed50060ef41,ok
BEs 1933\AGOSTO\16\99512\00000009 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-16 - BE n123 [99512] (2).pdf,4d5c23edb6d4ae72fa61c2947592dbe152da4de0,ok
BEs 1933\AGOSTO\19\99518\00000006.pdf,D:\TSJE_ATAS\1933\1933-08-19 - BE n124 [99518].pdf,fa54b999fda0f35e4d69221af34da2bea7d92a4b,ok
BEs 1933\AGOSTO\19\99518\00000010 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-19 - BE n124 [99518] (2).pdf,cdf602d2c264f7bba0cfcb65e7888832dfa891ea,ok
BEs 1933\AGOSTO\23\99526\00000007.pdf,D:\TSJE_ATAS\1933\1933-08-23 - BE n125 [99526].pdf,db9e09a8b5b85ffe3b912b1168fee688efa10037,ok
BEs 1933\AGOSTO\23\99526\00000011 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-23 - BE n125 [99526] (2).pdf,19bdfa56c12ff1e5ec2476e7a00fea7b0d871fa9,ok
BEs 1933\AGOSTO\26\99527\00000008.pdf,D:\TSJE_ATAS\1933\1933-08-26 - BE n126 [99527].pdf,40572fcdb4a3be7712da84ac0f22519ecc90d15a,ok
BEs 1933\AGOSTO\26\99527\00000012 (igual).pdf,D:\TSJE_ATAS\1933\1933-08-26 - BE n126 [99527] (2).pdf,d35f0ad86562b549bd0f7cfeb10e1eb8b79dbeb8,ok
BEs 1933\AGOSTO\30\99528\00000013.pdf,D:\TSJE_ATAS\1933\1933-08-30 - BE n127 [99528].pdf,ec004ff6bca70f1013758ad3ece75681f0ac0beb,ok
BEs 1933\SETEMBRO\02\99530\00000009.pdf,D:\TSJE_ATAS\1933\1933-09-02 - BE n128 [99530].pdf,3a9ec3a42e0d2fb0d6e48e49d4359d99cdbb2f83,ok
BEs 1933\SETEMBRO\02\99530\00000014 (igual).pdf,D:\TSJE_ATAS\1933\1933-09-02 - BE n128 [99530] (2).pdf,a76c96e618545b35d125fa8a13a5a1899c992f23,ok
BEs 1933\SETEMBRO\06\99531\00000010.pdf,D:\TSJE_ATAS\1933\1933-09-06 - BE n129 [99531].pdf,bf90f999eafc03073cee430df5e73858a0a587aa,ok
BEs 1933\SETEMBRO\06\99531\00000015 (igual).pdf,D:\TSJE_ATAS\1933\1933-09-06 - BE n129 [99531] (2).pdf,09ad73dde0c44f227571304d7c3ef829e8e1a873,ok
BEs 1933\SETEMBRO\09\99533\00000011.pdf,D:\TSJE_ATAS\1933\1933-09-09 - BE n130 [99533].pdf,8551a9f56887bd2128a7e5b2f09f25e8bbb43fb5,ok
BEs 1933\SETEMBRO\09\99533\00000016 (igual).pdf,D:\TSJE_ATAS\1933\1933-09-09 - BE n130 [99533] (2).pdf,692066f6ad17ead779566e04b544b426da619d86,ok
BEs 1933\SETEMBRO\13\99535\00000012.pdf,D:\TSJE_ATAS\1933\1933-09-13 - BE n131 [99535].pdf,737b0eea0c32ce7ee8335022e7edfb97dbd67ae9,ok
BEs 1933\SETEMBRO\13\99535\00000017 (igual).pdf,D:\TSJE_ATAS\1933\1933-09-13 - BE n131 [99535] (2).pdf,0bd22f6c8ec86419105fba65c58e35e8609fa5f0,ok
BEs 1933\SETEMBRO\16\99856\00000013.pdf,D:\TSJE_ATAS\1933\1933-09-16 - BE n132 [99856].pdf,099480908a15b7faeea5061d0642b1aaf9f4bef4,ok
BEs 1933\SETEMBRO\20\99857\00000014.pdf,D:\TSJE_ATAS\1933\1933-09-20 - BE n133 [99857].pdf,f4896a8b61a739209d9acbf8383746673ae2338e,ok
BEs 1933\SETEMBRO\23\99858\00000015.pdf,D:\TSJE_ATAS\1933\1933-09-23 - BE n134 [99858].pdf,49a92d3a8ccdd5f25b11873506a73b8c37c7d135,ok
BEs 1933\SETEMBRO\27\99859\00000016.pdf,D:\TSJE_ATAS\1933\1933-09-27 - BE n135 [99859].pdf,128f5bf761e29350fc572e43b4e045b45a01e02e,ok
BEs 1933\SETEMBRO\30\99860\00000017.pdf,D:\TSJE_ATAS\1933\1933-09-30 - BE n136 [99860].pdf,3fbb68ac94488c944f0f5bf14311955651b42ab5,ok
BEs 1933\OUTUBRO\04\99861\00000018.pdf,D:\TSJE_ATAS\1933\1933-10-04 - BE n137 [99861].pdf,90d2b1e1230a577a99b26fcc3b7581afa331db48,ok
BEs 1933\OUTUBRO\07\99862\00000019.pdf,D:\TSJE_ATAS\1933\1933-10-07 - BE n138 [99862].pdf,a70c84218214e7595183c3ce4e9990041f685f99,ok
BEs 1933\OUTUBRO\11\99863\00000020.pdf,D:\TSJE_ATAS\1933\1933-10-11 - BE n139 [99863].pdf,486b069f1a1f9b44b192bbde1d6b8f6bd1215b1d,ok
BEs 1933\OUTUBRO\14\99864\00000021.pdf,D:\TSJE_ATAS\1933\1933-10-14 - BE n140 [99864].pdf,d1cf61564207fd19d7fc34c35b7a1b96b788965d,ok
BEs 1933\OUTUBRO\18\99865\00000022.pdf,D:\TSJE_ATAS\1933\1933-10-18 - BE n141 [99865].pdf,70fee0e22e656e60d411879efdc7568705dd3115,ok
BEs 1933\OUTUBRO\21\99866\00000023.pdf,D:\TSJE_ATAS\1933\1933-10-21 - BE n142 [99866].pdf,852476e8c16028f44f584698eb254c6c9b826710,ok
BEs 1933\OUTUBRO\25\99867\00000024.pdf,D:\TSJE_ATAS\1933\1933-10-25 - BE n143 [99867].pdf,2a188c9f5f218e513aa47732a39a8e4df3433b5b,ok
BEs 1933\OUTUBRO\28\99868\00000025.pdf,D:\TSJE_ATAS\1933\1933-10-28 - BE n144 [99868].pdf,33d2e5072a552fc65a5e3ebee2f4474bbaf40dca,ok
BEs 1933\NOVEMBRO\01\99869\00000026.pdf,D:\TSJE_ATAS\1933\1933-11-01 - BE n145 [99869].pdf,2f0018c36e8446bd2f9e535448cb5450431f76af,ok
BEs 1933\NOVEMBRO\04\99870\00000027.pdf,D:\TSJE_ATAS\1933\1933-11-04 - BE n146 [99870].pdf,ee423d1e0725aee2306c5604096506da1dba7083,ok
BEs 1933\NOVEMBRO\08\99871\00000028.pdf,D:\TSJE_ATAS\1933\1933-11-08 - BE [99871].pdf,b5af3d4ccac19756cea6b651c587d9085a5a98de,ok
BEs 1933\NOVEMBRO\16\99873\00000030.pdf,D:\TSJE_ATAS\1933\1933-11-16 - BE n149 [99873].pdf,a49e403fd0d39c38cce57d4e8cc59e6d22c285e2,ok
BEs 1933\NOVEMBRO\18\99874\00000031.pdf,D:\TSJE_ATAS\1933\1933-11-18 - BE n150 [99874].pdf,12b961adc5dbd7831a1d689b1afd826db3a53599,ok
BEs 1933\NOVEMBRO\22\99875\00000032.pdf,D:\TSJE_ATAS\1933\1933-11-22 - BE n151 [99875].pdf,0cb68bc6540a32b968db715426f8d8e5fabb1e48,ok
BEs 1933\NOVEMBRO\23\99876\00000033.pdf,D:\TSJE_ATAS\1933\1933-11-23 - BE n152 [99876].pdf,b4ac7e5c0fc0995b91dbb9593a4bb49fad939caf,ok
BEs 1933\NOVEMBRO\25\99877\00000034.pdf,D:\TSJE_ATAS\1933\1933-11-25 - BE n153 [99877].pdf,1741300ce4baba7003f53026b1a8c010af350540,ok
BEs 1933\NOVEMBRO\29\99878\00000035.pdf,D:\TSJE_ATAS\1933\1933-11-29 - BE n154 [99878].pdf,7bfe5fa2a476b61847f0e467c30b36147641dfdc,ok
BEs 1933\DEZEMBRO\02\99879\00000036.pdf,D:\TSJE_ATAS\1933\1933-12-02 - BE n155 [99879].pdf,e350bab6cb77e68bb6260c742e11949be4b84c12,ok
BEs 1933\DEZEMBRO\06\99880\00000037.pdf,D:\TSJE_ATAS\1933\1933-12-06 - BE n156 [99880].pdf,fa24979145db3a9d326a4c880dcba6e02f99348f,ok
BEs 1933\DEZEMBRO\09\99881\00000038.pdf,D:\TSJE_ATAS\1933\1933-12-09 - BE n157 [99881].pdf,c46c94e159fe3eab994357b8bdfaecce062a8551,ok
BEs 1933\DEZEMBRO\13\99882\00000039.pdf,D:\TSJE_ATAS\1933\1933-12-13 - BE n158 [99882].pdf,a323b327345afce39b9496c79da1afccb1ad9648,ok
BEs 1933\DEZEMBRO\16\99883\00000040.pdf,D:\TSJE_ATAS\1933\1933-12-16 - BE n159 [99883].pdf,8ea8a65d2a26d1167bf7871f8c1b311a9b4bb35c,ok
BEs 1933\DEZEMBRO\23\99885\00000042.pdf,D:\TSJE_ATAS\1933\1933-12-23 - BE n161 [99885].pdf,3fc70ce8c73bdfa617205ff074944d4d85b77fb7,ok
BEs 1933\DEZEMBRO\27\99886\00000043.pdf,D:\TSJE_ATAS\1933\1933-12-27 - BE n162 [99886].pdf,023cb854ba544ed998a353e89151bd40fb02e875,ok
BEs 1933\DEZEMBRO\30\99887\00000044.pdf,D:\TSJE_ATAS\1933\1933-12-30 - BE n163 [99887].pdf,05e4349701857689a6934b4006bf7cd348a2a267,ok
BEs 1934\JANEIRO\03\99364\00000001.pdf,D:\TSJE_ATAS\1934\1934-01-03 - BE n001 [99364].pdf,a453f7b8d0df944db0fe8c1343cb74151c866c38,ok
BEs 1934\JANEIRO\10\99366\00000003.pdf,D:\TSJE_ATAS\1934\1934-01-10 - BE n003 [99366].pdf,46de33fcf2e1621e877b3a03befa6813f434ca19,ok
BEs 1934\JANEIRO\13\99367\00000004.pdf,D:\TSJE_ATAS\1934\1934-01-13 - BE n004 [99367].pdf,e7370f8840032d3a2cf629dd40a395be4ca1432f,ok
BEs 1934\JANEIRO\17\99368\00000005.pdf,D:\TSJE_ATAS\1934\1934-01-17 - BE n005 [99368].pdf,d0afa6f38d6f1e3c0f3c975d1a194000be264413,ok
BEs 1934\JANEIRO\20\99369\00000006.pdf,D:\TSJE_ATAS\1934\1934-01-20 - BE n006 [99369].pdf,ffa38021a1e7559958e4c776b0845794882a6f60,ok
