"Rel","Name","Length","Modified","Attributes"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Comissionamento.pdf","Comissionamento.pdf","2471944","2024-07-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Conversa com Ronnie.pdf","Conversa com Ronnie.pdf","76524","2024-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Conversa com Ronnie.png","Conversa com Ronnie.png","295952","2024-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Currículo.docx","Currículo.docx","761590","2025-11-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Currículo.pdf","Currículo.pdf","169053","2024-07-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\EJE_Grupo de Pesquisa.pdf","EJE_Grupo de Pesquisa.pdf","761994","2024-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\FC's e CJ's.docx","FC's e CJ's.docx","21174","2024-07-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\LGPD + Cand - PA 0600231-37.pdf","LGPD + Cand - PA 0600231-37.pdf","69870","2023-06-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Manual de padronização do TSE.pdf","Manual de padronização do TSE.pdf","1962280","2024-07-13","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Resoluções - consolidação.doc","Resoluções - consolidação.doc","280064","2023-11-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REVISÃO - Res.-TSE 23.736_2024 (atos gerais).docx","REVISÃO - Res.-TSE 23.736_2024 (atos gerais).docx","110195","2024-07-01","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\SEI's.docx","SEI's.docx","20505","2024-09-13","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Série - auditoria - urnas eletrônicas.pdf","Série - auditoria - urnas eletrônicas.pdf","760315","2023-10-04","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Tarefas na AGEL.docx","Tarefas na AGEL.docx","25485","2024-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\CONCURSO\Minuta_Resolucao_Concurso_Publico_atualizada_em_05.09.2023.docx","Minuta_Resolucao_Concurso_Publico_atualizada_em_05.09.2023.docx","22944","2023-10-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\CONCURSO\QUADRO_COMPARATIVO_CONCURSO_PUBLICO._atualizado_em_05.09.3023.docx","QUADRO_COMPARATIVO_CONCURSO_PUBLICO._atualizado_em_05.09.3023.docx","37681","2023-10-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\0000297-47.2013.6.00.0000.pdf","0000297-47.2013.6.00.0000.pdf","31763295","2023-04-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\0600590-84.2021.6.00.0000.docx","0600590-84.2021.6.00.0000.docx","12348","2023-09-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\0601055-59.2022.6.00.0000.docx","0601055-59.2022.6.00.0000.docx","12303","2023-09-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2015.00.000004544-3.pdf","2015.00.000004544-3.pdf","11244522","2023-12-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000005417-9.docx","2023.00.000005417-9.docx","25407","2023-05-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000006577-4.docx","2023.00.000006577-4.docx","15119","2023-11-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000010390-0.docx","2023.00.000010390-0.docx","21259","2023-09-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000012900-4 (despacho).pdf","2023.00.000012900-4 (despacho).pdf","105566","2023-11-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000012900-4 (portaria).pdf","2023.00.000012900-4 (portaria).pdf","113562","2023-11-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000012900-4 - Eleições suplementares.pdf","2023.00.000012900-4 - Eleições suplementares.pdf","180687","2023-11-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2023.00.000013088-6.docx","2023.00.000013088-6.docx","15829","2023-10-31","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2024.00.000001560-8.docx","2024.00.000001560-8.docx","18232","2024-04-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2024.00.000002455-0.docx","2024.00.000002455-0.docx","14408","2024-03-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2024.00.000002669-3.docx","2024.00.000002669-3.docx","14220","2024-03-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2024.00.000002815-7.docx","2024.00.000002815-7.docx","18018","2024-04-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\2024.00.000003583-8 (2).docx","2024.00.000003583-8 (2).docx","19868","2024-04-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Investigadores saindo de Brasília antes das 18h da sexta.docx","Investigadores saindo de Brasília antes das 18h da sexta.docx","19032","2023-11-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Minuta - Guia - Eleições Gerais 2022(1).docx","Minuta - Guia - Eleições Gerais 2022(1).docx","51277","2024-09-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Minuta - Guia - Eleições Gerais 2022.docx","Minuta - Guia - Eleições Gerais 2022.docx","51277","2022-08-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Minuta ACT_AGU_2024 .docx","Minuta ACT_AGU_2024 .docx","24035","2023-12-13","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Orientações sobe o termo de referência da auditoria.docx","Orientações sobe o termo de referência da auditoria.docx","234162","2023-10-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\Parecer_2023.00.000003725-8.pdf","Parecer_2023.00.000003725-8.pdf","178699","2024-04-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\SEI 2023.00.000013088-6.pdf","SEI 2023.00.000013088-6.pdf","172120","2023-10-31","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\SEI_1902827 - Novo Termo de Referência.pdf","SEI_1902827 - Novo Termo de Referência.pdf","333049","2023-09-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Despachos e Informações\SEI_TSE - 2795149 - Informação.pdf","SEI_TSE - 2795149 - Informação.pdf","153500","2024-06-07","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\GT's\Designação - SEI 2023.00.000003989-7.pdf","Designação - SEI 2023.00.000003989-7.pdf","122478","2023-06-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\MOE\Resumo - relatórios MOE.docx","Resumo - relatórios MOE.docx","40180","2024-06-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\CTA 294-24 - DF.PDF","CTA 294-24 - DF.PDF","307665","2022-08-29","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\Informação_AGEL (1).docx","Informação_AGEL (1).docx","24899","2023-07-31","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\Informação_AGEL (2).docx","Informação_AGEL (2).docx","21436","2023-07-31","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\Informação_AGEL (3).docx","Informação_AGEL (3).docx","29452","2023-08-01","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\Informação_AGEL sugestões Sandra.docx","Informação_AGEL sugestões Sandra.docx","25326","2023-08-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\PA 0600588-85 - Min. Nunes Marques (SEI 2023.00.000003989-7).pdf","PA 0600588-85 - Min. Nunes Marques (SEI 2023.00.000003989-7).pdf","690764","2023-07-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\prisões domiciliares.docx","prisões domiciliares.docx","21100","2023-07-25","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\Resumo - PA 0600588-85 - Min. Nunes Marques.docx","Resumo - PA 0600588-85 - Min. Nunes Marques.docx","21536","2023-07-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\SEI 2023.00.000011068-0.docx","SEI 2023.00.000011068-0.docx","13016","2023-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\PRESOS PROVISÓRIOS\SEI Presos provisórios 2022.txt","SEI Presos provisórios 2022.txt","19","2024-01-10","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\Ofício 2376 - SEI_2896721.pdf","Ofício 2376 - SEI_2896721.pdf","95218","2024-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\Portaria TSE 490 - trabalho híbrido.pdf","Portaria TSE 490 - trabalho híbrido.pdf","251955","2024-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\Prompt.docx","Prompt.docx","25850","2024-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\Relatório de Gestão 2024.pdf","Relatório de Gestão 2024.pdf","19935015","2024-03-25","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\RELATÓRIO FINAL - regime híbrido.docx","RELATÓRIO FINAL - regime híbrido.docx","23003","2024-07-10","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\REGIME HÍBRIDO\RELATÓRIO FINAL - regime híbrido.pdf","RELATÓRIO FINAL - regime híbrido.pdf","193937","2024-07-10","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2022\Manual de orientações seggo.pdf","Manual de orientações seggo.pdf","1830036","2022-10-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2022\Relatorio_de_Gestao_2022_TSE_oficial_revisado_consolidado_Val_Seggo.docx","Relatorio_de_Gestao_2022_TSE_oficial_revisado_consolidado_Val_Seggo.docx","7682458","2024-01-10","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2022\Relatório de Gestão.txt","Relatório de Gestão.txt","42","2024-01-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2022\Sumário RG 2022.pdf","Sumário RG 2022.pdf","59764","2022-10-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Anexo_Informacoes_AGEL.docx","Anexo_Informacoes_AGEL.docx","37716","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Anexo_Informacoes_AGEL_V2.docx","Anexo_Informacoes_AGEL_V2.docx","14345","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Checklist.docx","Checklist.docx","16887","2024-01-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Checklist_AGEL.docx","Checklist_AGEL.docx","14611","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Mensagem ao Thiago.docx","Mensagem ao Thiago.docx","16104","2024-01-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório de gestão 2023.pdf","Relatório de gestão 2023.pdf","19935015","2024-03-25","4199968"
