data_sessao,tribunal,tipo,num_ordinal,pagina,n_boletim_be,data_boletim,arquivo_destino,origem
1937-03-03,superior,,91,12,29,1937-03-16,1937-03-16 - BE n029 [100114].pdf,BEs 1937\MARÇO\16\100114\00000007.pdf
1937-03-05,superior,ordinaria,24,5,26,1937-03-09,1937-03-09 - BE n026 [100111].pdf,BEs 1937\MARÇO\09\100111\00000004.pdf
1937-03-08,superior,ordinaria,95,5,27,1937-03-11,1937-03-11 - BE n027 [100112].pdf,BEs 1937\MARÇO\11\100112\00000005.pdf
1937-03-10,regional,,,23,32,1937-03-23,1937-03-23 - BE n032 [100117].pdf,BEs 1937\MARÇO\23\100117\00000010.pdf
1937-03-10,superior,ordinaria,20,6,,1937-03-13,1937-03-13 - BE [100113].pdf,BEs 1937\MARÇO\13\100113\00000006.pdf
1937-03-12,superior,ordinaria,27,9,29,1937-03-16,1937-03-16 - BE n029 [100114].pdf,BEs 1937\MARÇO\16\100114\00000007.pdf
1937-03-15,superior,ordinaria,28,9,30,1937-03-18,1937-03-18 - BE n030 [100115].pdf,BEs 1937\MARÇO\18\100115\00000008.pdf
1937-03-19,superior,ordinaria,30,8,32,1937-03-23,1937-03-23 - BE n032 [100117].pdf,BEs 1937\MARÇO\23\100117\00000010.pdf
1937-03-24,superior,ordinaria,32,12,34,1937-03-30,1937-03-30 - BE n034 [100119].pdf,BEs 1937\MARÇO\30\100119\00000012.pdf
1937-04-23,superior,ordinaria,43,9,,1937-04-27,1937-04-27 - BE [100169].pdf,BEs 1937\ABRIL\27\100169\00000011.pdf
1937-04-28,superior,,,20,51,1937-05-13,1937-05-13 - BE n051 [100175].pdf,BEs 1937\MAIO\13\100175\00000017.pdf
1937-04-28,superior,ordinaria,45,10,47,1937-05-01,1937-05-01 - BE n047 [100171].pdf,BEs 1937\MAIO\01\100171\00000013.pdf
1937-05-07,superior,ordinaria,48,10,,1937-05-11,1937-05-11 - BE [100174].pdf,BEs 1937\MAIO\11\100174\00000016.pdf
1937-05-12,regional,,,20,58,1937-05-29,1937-05-29 - BE n058 [100182].pdf,BEs 1937\MAIO\29\100182\00000024.pdf
1937-05-12,superior,ordinaria,50,10,52,1937-05-15,1937-05-15 - BE n052 [100176].pdf,BEs 1937\MAIO\15\100176\00000018.pdf
1937-05-19,superior,,20,35,,1937-06-12,1937-06-12 - BE [100188].pdf,BEs 1937\JUNHO\12\100188\00000030.pdf
1937-05-19,superior,ordinaria,53,10,55,1937-05-22,1937-05-22 - BE n055 [100179].pdf,BEs 1937\MAIO\22\100179\00000021.pdf
1937-05-21,superior,ordinaria,,4,,1937-05-25,1937-05-25 - BE [100180].pdf,BEs 1937\MAIO\25\100180\00000022.pdf
1937-05-24,superior,ordinaria,55,11,,1937-05-27,1937-05-27 - BE [100181].pdf,BEs 1937\MAIO\27\100181\00000023.pdf
1937-05-26,superior,,,38,74,1937-07-06,1937-07-06 - BE n074 [100200].pdf,BEs 1937\JULHO\06\100200\00000003.pdf
1937-05-31,superior,ordinaria,58,8,60,1937-06-03,1937-06-03 - BE n060 [100184].pdf,BEs 1937\JUNHO\03\100184\00000026.pdf
1937-06-02,superior,ordinaria,59,11,,1937-06-05,1937-06-05 - BE [100185].pdf,BEs 1937\JUNHO\05\100185\00000027.pdf
1937-06-04,superior,ordinaria,60,14,,1937-06-08,1937-06-08 - BE [100186].pdf,BEs 1937\JUNHO\08\100186\00000028.pdf
1937-06-07,superior,ordinaria,60,22,,1937-06-10,1937-06-10 - BE [100187].pdf,BEs 1937\JUNHO\10\100187\00000029.pdf
1937-06-09,regional,,23,26,,1937-07-13,1937-07-13 - BE [100203].pdf,BEs 1937\JULHO\13\100203\00000006.pdf
1937-06-09,superior,ordinaria,,23,,1937-06-12,1937-06-12 - BE [100188].pdf,BEs 1937\JUNHO\12\100188\00000030.pdf
1937-06-16,superior,ordinaria,65,23,,1937-06-19,1937-06-19 - BE [100191].pdf,BEs 1937\JUNHO\19\100191\00000033.pdf
1937-06-23,superior,,,24,,1937-07-15,1937-07-15 - BE [100204].pdf,BEs 1937\JULHO\15\100204\00000007.pdf
1937-06-23,superior,ordinaria,,21,71,1937-06-29,1937-06-29 - BE n071 [100195].pdf,BEs 1937\JUNHO\29\100195\00000037.pdf
1937-06-30,superior,ordinaria,71,19,,1937-07-03,1937-07-03 - BE [100199].pdf,BEs 1937\JULHO\03\100199\00000002.pdf
1937-07-02,superior,ordinaria,72,35,74,1937-07-06,1937-07-06 - BE n074 [100200].pdf,BEs 1937\JULHO\06\100200\00000003.pdf
1937-07-07,regional,,27,24,79,1937-07-20,1937-07-20 - BE n079 [59d2c936].pdf,BEs 1937\JULHO\20\1937_boletim_eleitoral_a6_n79.pdf
1937-07-09,superior,ordinaria,,19,,1937-07-13,1937-07-13 - BE [100203].pdf,BEs 1937\JULHO\13\100203\00000006.pdf
1937-07-12,superior,ordinaria,1,19,,1937-07-15,1937-07-15 - BE [100204].pdf,BEs 1937\JULHO\15\100204\00000007.pdf
1937-07-14,superior,,28,25,,1937-07-27,1937-07-27 - BE [100210].pdf,BEs 1937\JULHO\27\100210\00000011.pdf
1937-07-14,superior,ordinaria,77,17,79,1937-07-20,1937-07-20 - BE n079 [59d2c936].pdf,BEs 1937\JULHO\20\1937_boletim_eleitoral_a6_n79.pdf
1937-07-17,superior,ordinaria,78,17,79,1937-07-20,1937-07-20 - BE n079 [59d2c936].pdf,BEs 1937\JULHO\20\1937_boletim_eleitoral_a6_n79.pdf
1937-07-19,superior,ordinaria,,17,,1937-07-22,1937-07-22 - BE [100206].pdf,BEs 1937\JULHO\22\100206\00000009.pdf
1937-07-21,superior,ordinaria,,17,,1937-07-24,1937-07-24 - BE [100208].pdf,BEs 1937\JULHO\24\100208\00000010.pdf
