path_original,origem_atual,destino_novo,categoria,conf
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\CAM00554.jpg,D:\MÍDIA\2015\2015-02\2015-02-03 11.21.05 [2cb50001].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2015-02-03 11.21.05 [2cb50001].jpg,documento_trivial,0.78
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\1498304583981.jpg,D:\MÍDIA\2017\2017-06\2017-06-24 08.43.03 [cf22ba33].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2017-06-24 08.43.03 [cf22ba33].jpg,meme_web,0.9
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\1498304633911.jpg,D:\MÍDIA\2017\2017-06\2017-06-24 08.43.53 [cba81626].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2017-06-24 08.43.53 [cba81626].jpg,tv_gravacao,0.78
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\1498493708485.jpg,D:\MÍDIA\2017\2017-06\2017-06-26 13.15.08 [7aeb0dbf].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2017-06-26 13.15.08 [7aeb0dbf].jpg,tv_gravacao,0.98
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\1498493712918.jpg,D:\MÍDIA\2017\2017-06\2017-06-26 13.15.12 [66715356].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2017-06-26 13.15.12 [66715356].jpg,tv_gravacao,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20160916-WA0000.jpg,D:\MÍDIA\2016\2016-09\2016-09-16 [57ed00ba].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2016-09-16 [57ed00ba].jpg,tela,1.0
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20160916-WA0027.jpg,D:\MÍDIA\2016\2016-09\2016-09-16 [90cbad65].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2016-09-16 [90cbad65].jpg,meme_web,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20161114-WA0012.jpg,D:\MÍDIA\2016\2016-11\2016-11-14 [2b82163c].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2016-11-14 [2b82163c].jpg,meme_web,0.98
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20161204-WA0005.jpg,D:\MÍDIA\2016\2016-12\2016-12-04 [0f66afee].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2016-12-04 [0f66afee].jpg,tela,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170702-WA0069.jpg,D:\MÍDIA\2017\2017-07\2017-07-02 [2dfeaa26].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2017-07-02 [2dfeaa26].jpg,meme_web,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170305-WA0051.jpg,D:\MÍDIA\2017\2017-03\2017-03-25 13.12.34 [8510656d].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2017-03-25 13.12.34 [8510656d].jpg,meme_web,0.78
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170818-WA0025.jpg,D:\MÍDIA\2017\2017-08\2017-08-18 [9458b0f1].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2017-08-18 [9458b0f1].jpg,meme_web,0.92
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170819-WA0030.jpg,D:\MÍDIA\2017\2017-08\2017-08-19 [21312eaf].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2017-08-19 [21312eaf].jpg,tela,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170827-WA0012.jpg,D:\MÍDIA\2017\2017-08\2017-08-27 [0788cd7a].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2017-08-27 [0788cd7a].jpg,meme_web,0.86
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Mário\Celular 2017\IMG-20170906-WA0038.jpg,D:\MÍDIA\2017\2017-09\2017-09-06 [4e365c86].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2017-09-06 [4e365c86].jpg,tela,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Google Fotos\20180110_155702_016.jpg,D:\MÍDIA\2018\2018-01\2018-01-10 15.57.03 [cf990853].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2018-01-10 15.57.03 [cf990853].jpg,documento_trivial,0.91
D:\HD EXTERNO Mário\01_Fotos da câmera\Google Fotos\20180110_155702_020.jpg,D:\MÍDIA\2018\2018-01\2018-01-10 15.57.03 [5d6354fd].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2018-01-10 15.57.03 [5d6354fd].jpg,documento_trivial,0.91
