"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Folha de Pagamento TSE (2018).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Folha de Pagamento TSE (2018).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Folha de Pagamento TSE (2020).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Folha de Pagamento TSE (2020).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Modelo_renúncia.jpg","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Modelo_renúncia.jpg"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Parecer MPF - Processo 1028483-57.2020.4.01.0000 - 2023-09-20.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Parecer MPF - Processo 1028483-57.2020.4.01.0000 - 2023-09-20.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Petição da União - PA 1028483-57.2020.4.01.0000 (proc. 1007279-73.2019) - 13,23%.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Petição da União - PA 1028483-57.2020.4.01.0000 (proc. 1007279-73.2019) - 13,23%.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Petição inicial - ação 13,23% - dependência à Ação Coletiva 0033198-04.2007.4.01.3400 - 22ª Vara DF.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Petição inicial - ação 13,23% - dependência à Ação Coletiva 0033198-04.2007.4.01.3400 - 22ª Vara DF.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Procuração ad judicia et extra - Maurício Chiaramonte para Maria Luiza Botelho da Cunha.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Procuração ad judicia et extra - Maurício Chiaramonte para Maria Luiza Botelho da Cunha.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Procuração ad judicia et extra - outorgante Maurício - outorgada Maria Luiza Botelho.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Procuração ad judicia et extra - outorgante Maurício - outorgada Maria Luiza Botelho.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\Acórdão TSE - PA 0600231-37.2021 - LGPD x registro de candidatura - DivulgaCandContas.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\Acórdão TSE - PA 0600231-37.2021 - LGPD x registro de candidatura - DivulgaCandContas.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\Barroso critica resoluções do TSE - RO 0603900-65-BA - sessão 2020-10-13.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\Barroso critica resoluções do TSE - RO 0603900-65-BA - sessão 2020-10-13.docx"
