"ID","Nome (Artigo)","Texto do Artigo"
"22","Art. 4º, §6º, II","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º, II

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º Salvo motivo de força maior ou enfermidade devidamente comprovados, a posse dar-se-á no prazo de trinta dias, prorrogável por igual período a requerimento do interessado, contado:
II - da diplomação, se eleito Deputado durante a legislatura;"
"23","Art. 4º, §6º, III","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º, III

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º Salvo motivo de força maior ou enfermidade devidamente comprovados, a posse dar-se-á no prazo de trinta dias, prorrogável por igual período a requerimento do interessado, contado:
III - da ocorrência do fato que a ensejar, por convocação do Presidente."
"24","Art. 4º, §6º-A","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º-A

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º-A Nas hipóteses excepcionais de que trata o §6º deste artigo, poderá o Presidente, mediante requerimento da parte interessada, colher o compromisso de posse por meio de videoconferência durante a sessão preparatória ou no mesmo dia de sua realização, nesse caso, acompanhado o ato pela Secretaria-Geral da Mesa, que lavrará o respectivo termo. (Parágrafo acrescido pela Resolução nº 37, de 2022)"
"25","Art. 4º, §6º-B","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º-B

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º-B Nos casos de licença-gestante, o requerimento referido no §6º-A deste artigo, devidamente acompanhado da declaração de parto em período inferior a 120 (cento e vinte) dias, assegurará o direito à posse virtual à parlamentar diplomada. (Parágrafo acrescido pela Resolução nº 37, de 2022)"
"26","Art. 4º, §7º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §7º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§7º Tendo prestado o compromisso uma vez, fica o Suplente de Deputado dispensado de fazê-lo em convocações subsequentes, bem como o Deputado ao reassumir o lugar, sendo a sua volta ao exercício do mandato comunicada à Casa pelo Presidente."
"27","Art. 4º, §8º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §8º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§8º Não se considera investido no mandato de Deputado Federal quem deixar de prestar o compromisso nos estritos termos regimentais."
"28","Art. 4º, §9º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §9º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§9º O Presidente fará publicar, no Diário da Câmara dos Deputados do dia seguinte, a relação dos Deputados investidos no mandato, organizada de acordo com os critérios fixados no §3º do Art. 3º, a qual, com as modificações posteriores, servirá para o registro do comparecimento e verificação do quorum necessário à abertura da sessão, bem como para as votações nominais e por escrutínio secreto. (Denominação original “Diário do Congresso Nacional” alterada para “Diário da Câmara dos Deputados” para adequação ao Ato dos Presidentes das Mesas das duas Casas do Congresso Nacional, de 2 de outubro de 1995, conforme republicação determinada pelo Ato da Mesa nº 71, de 2005)"
"29","Art. 5º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 5º

Art. 5º. Na segunda sessão preparatória da primeira sessão legislativa de cada legislatura, no dia 1º de fevereiro, sempre que possível sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários, para mandato de dois anos, vedada a recondução para o mesmo cargo na eleição imediatamente subsequente. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)"
"30","Art. 5º, §1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 5º, §1º

Art. 5º. Na segunda sessão preparatória da primeira sessão legislativa de cada legislatura, no dia 1º de fevereiro, sempre que possível sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários, para mandato de dois anos, vedada a recondução para o mesmo cargo na eleição imediatamente subsequente. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§1º Não se considera recondução a eleição para o mesmo cargo em legislaturas diferentes, ainda que sucessivas."
"31","Art. 5º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 5º, §2º

Art. 5º. Na segunda sessão preparatória da primeira sessão legislativa de cada legislatura, no dia 1º de fevereiro, sempre que possível sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários, para mandato de dois anos, vedada a recondução para o mesmo cargo na eleição imediatamente subsequente. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§2º Enquanto não for escolhido o Presidente, não se procederá à apuração para os demais cargos."
"32","Art. 6º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 6º

Art. 6º. No terceiro ano de cada legislatura, em data e hora previamente designadas pelo Presidente da Câmara dos Deputados, antes de inaugurada a sessão legislativa e sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários."
"33","Art. 6º, §1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 6º, §1º

Art. 6º. No terceiro ano de cada legislatura, em data e hora previamente designadas pelo Presidente da Câmara dos Deputados, antes de inaugurada a sessão legislativa e sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários.
§1º (Revogado)."
"34","Art. 6º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 6º, §2º

Art. 6º. No terceiro ano de cada legislatura, em data e hora previamente designadas pelo Presidente da Câmara dos Deputados, antes de inaugurada a sessão legislativa e sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários.
§2º (Revogado)."
"35","Art. 6º, §3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 6º, §3º

Art. 6º. No terceiro ano de cada legislatura, em data e hora previamente designadas pelo Presidente da Câmara dos Deputados, antes de inaugurada a sessão legislativa e sob a direção da Mesa da sessão anterior, realizar-se-á a eleição do Presidente, dos demais membros da Mesa e dos Suplentes dos Secretários.
§3º Enquanto não for eleito o novo Presidente, dirigirá os trabalhos da Câmara dos Deputados a Mesa da sessão legislativa anterior. (Artigo com redação dada pela Resolução nº 19, de 2012)"
"36","Art. 7º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO II - Da Eleição da Mesa
Dispositivo: Art. 7º

Art. 7º. A eleição dos membros da Mesa far-se-á em votação por escrutínio secreto e pelo sistema eletrônico, exigido maioria absoluta de votos, em primeiro escrutínio, e maioria simples, em segundo escrutínio, presente a maioria absoluta dos Deputados, observadas as seguintes exigências e formalidades:"
