"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Diploma Pós-graduação (1).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\Diploma Pós-graduação (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Diploma Pós-graduação (2).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\Diploma Pós-graduação (2).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Exoneração (TJMG).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Exoneração (TJMG).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Família (DADOS).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Família (DADOS).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Foto - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.jpg","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Foto - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.jpg"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Histórico pós-graduação (1).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\Histórico pós-graduação (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Inclusão - CAROL.html","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Inclusão - CAROL.html"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Inclusão - CAROL.pdf","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Inclusão - CAROL.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Loungekey.docx","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\SENHAS\Loungekey.docx"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Passaporte - Carol.jpg","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Passaporte - Carol.jpg"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Passaporte - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Passaporte - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Passaporto - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Passaporto - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\PID - Permissão Internacional para Dirigir.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\PID - Permissão Internacional para Dirigir.pdf"
