page_id,numeroUnico,old_resultado,new_resultado,status
32872195-5c64-81ca-9809-e00eafa2b59c,0600232-63.2024.6.16.0164,por maioria,monocrática,updated
32872195-5c64-81ca-a735-eee71ac158e7,0600410-85.2024.6.09.0041,unânime,monocrática,updated
32872195-5c64-81ca-b1b6-d269347783ce,0600414-25.2024.6.09.0041,unânime,monocrática,updated
32872195-5c64-81cd-ad35-d6a773ec260c,0600817-15.2024.6.21.0023,"unânime,não conhecido",monocrática,updated
32872195-5c64-81cd-b97e-d566cbfcc500,0602265-58.2022.6.14.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81ce-973a-f3109d51ddb3,0613137-54.2024.6.00.0000,unânime,monocrática,updated
32872195-5c64-81d0-bea2-f72510e709f2,0600516-09.2024.6.17.0014,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81d1-92a9-c1234e03b79b,0601105-80.2025.6.00.0000,unânime,monocrática,updated
32872195-5c64-81d1-aea4-d08fdf7d5241,0600875-38.2025.6.00.0000,unânime,monocrática,updated
32872195-5c64-81d2-8d28-e41bd12f3846,0600460-80.2024.6.11.0001,unânime,monocrática,updated
32872195-5c64-81d3-8c23-fe905bd3ac4f,0600369-06.2024.6.12.0019,por maioria,monocrática,updated
32872195-5c64-81d3-923f-fbc057769f20,0600391-65.2024.6.14.0033,unânime,monocrática,updated
32872195-5c64-81d3-9c39-fa4403934822,0600244-45.2024.6.14.0031,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81d4-b3c3-c70f276e471f,0600224-08.2024.6.12.0032,por maioria,monocrática,updated
32872195-5c64-81d5-8d7f-e67a76e2652c,0600074-21.2025.6.05.0118,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81d5-b4af-fe1c8058463a,0600255-69.2024.6.13.0171,unânime,monocrática,updated
32872195-5c64-81d5-b54e-c81eb6c03362,0600412-55.2024.6.09.0041,unânime,monocrática,updated
32872195-5c64-81d5-b68b-ead38bf10d38,0600269-10.2024.6.19.0196,"por maioria,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81d7-9723-e216d715ce2f,0600418-62.2024.6.09.0041,unânime,monocrática,updated
32872195-5c64-81d9-9c62-f6526f00af77,0600495-97.2024.6.17.0025,unânime,monocrática,updated
32872195-5c64-81d9-9f91-cfa1e41a4c94,0600750-31.2024.6.08.0017,por maioria,monocrática,updated
32872195-5c64-81da-b2c0-f6150a4d819b,0600026-32.2026.6.00.0000,monocrática,"monocrática,não conhecido",updated
32872195-5c64-81db-8eee-ef09aa556b77,0600054-91.2023.6.26.0093,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81e4-be5a-eb0ea78830a2,0600337-22.2024.6.13.0003,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81e8-b40d-fc4753a2283b,0600359-79.2024.6.10.0095,unânime,monocrática,updated
32872195-5c64-81e9-aff3-fcb0f8ee2402,0600197-86.2026.6.00.0000,por maioria,monocrática,updated
32872195-5c64-81eb-9efb-cd611fc600ab,0600208-81.2024.6.19.0154,unânime,monocrática,updated
32872195-5c64-81eb-a523-ea71839a5887,0600229-38.2019.6.00.0000,por maioria,monocrática,updated
32872195-5c64-81ec-8172-c0484aa9f929,0600441-48.2024.6.10.0051,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81ee-92df-f662f4eed734,0600302-96.2024.6.02.0026,unânime,monocrática,updated
32872195-5c64-81ef-ba5b-c417fe809225,0600825-08.2024.6.15.0007,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81f1-8321-e8e919f0c060,0600356-19.2024.6.05.0175,unânime,monocrática,updated
32872195-5c64-81f3-8609-f16309d98ae9,0600521-47.2024.6.14.0068,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81f3-8a64-d8223459efd8,0600519-63.2024.6.13.0114,"por maioria,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81f3-b62a-fa891d654332,0600428-27.2024.6.06.0062,unânime,monocrática,updated
32872195-5c64-81f4-98b6-ea2af470b131,0600248-61.2024.6.14.0038,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81f8-9779-f2018dc51a97,0600161-81.2021.6.09.0028,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81f8-bb2e-ced398d121b1,0600025-74.2024.6.04.0010,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81fe-b290-ccfe4602a0a6,0602245-67.2022.6.14.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81fe-b81a-e56a04b04ffb,0600545-98.2024.6.11.0055,unânime,monocrática,updated
