item_before,item_after,action,occurrences
CPC/2015 art 833 IV,CPC/2015 art. 833 inc. IV,normalized,8
CPC/2015 artigo 319,CPC/2015 art. 319,normalized,8
CPC/2015 artigo 835,CPC/2015 art. 835,normalized,8
CPP art 120,CPP art. 120,normalized,8
CPP art 156,CPP art. 156,normalized,8
CPP art 386 III,CPP art. 386 inc. III,normalized,8
CPP art 41,CPP art. 41,normalized,8
CPP artigo 564,CPP art. 564,normalized,8
CTN art 111,CTN art. 111,normalized,8
CTN art 138,CTN art. 138,normalized,8
CTN art 151,CTN art. 151,normalized,8
Lei 8.112 1990,Lei nº 8.112/1990,normalized,8
Lei 8.213 1991,Lei nº 8.213/1991,normalized,8
Lei 8.429/1992,Lei nº 8.429/1992,normalized,8
Lei nº 11.343/2006 art 40 I,Lei nº 11.343/2006 art. 40 inc. I,normalized,8
Lei nº 12.990/2014,Lei nº 12.990/2014,unchanged,8
Lei nº 13.982/2020,Lei nº 13.982/2020,unchanged,8
Lei nº 3.373/1958,Lei nº 3.373/1958,unchanged,8
Lei nº 4.320/1964,Lei nº 4.320/1964,unchanged,8
Lei nº 6.001/1973,Lei nº 6.001/1973,unchanged,8
Lei nº 7.713/1988 art 6º XIV,Lei nº 7.713/1988 art. 6º XIV,normalized,8
Lei nº 8.213/1991 Art 16,Lei nº 8.213/1991 art. 16,normalized,8
Lei nº 8.213/1991 Artigo 57,Lei nº 8.213/1991 art. 57,normalized,8
Lei nº 8.666 1993,Lei nº 8.666/1993,normalized,8
Lei nº 8.666/1993 artigo 3,Lei nº 8.666/1993 art. 3º,normalized,8
CF 88,,drop_generic_or_invalid,7
CF/88 Art 109,CF/88 art. 109,normalized,7
CF/88 art 157 I,CF/88 art. 157 inc. I,normalized,7
CF/88 art 37 caput,CF/88 art. 37 caput,normalized,7
CF/88 art 37 inciso II,CF/88 art. 37 inc. II,normalized,7
CF/88 art 5º LVII,CF/88 art. 5º LVII,normalized,7
CF/88 art 5º XXXV,CF/88 art. 5º XXXV,normalized,7
CF/88 art. 37,CF/88 art. 37,unchanged,7
CF/88 art. 37 II,CF/88 art. 37 inc. II,normalized,7
CF/88 artigo 231,CF/88 art. 231,normalized,7
CF/88 artigo 5 inciso LV,CF/88 art. 5º inc. LV,normalized,7
