item_before,item_after,action,occurrences
Lei 8.112 1990 art. 77 caput,Lei nº 8.112/1990 art. 77 caput,normalized,1
Lei 8.112 1990 artigo 230,Lei nº 8.112/1990 art. 230,normalized,1
Lei 8.112 1990 artigo 62,Lei nº 8.112/1990 art. 62,normalized,1
Lei 8.112 1990 artigo 93,Lei nº 8.112/1990 art. 93,normalized,1
Lei 8.112 1990 arts 68 a 70,Lei nº 8.112/1990 art. 68-A 70,normalized,1
Lei 8.112 1990 § 5º do Art 20,Lei nº 8.112/1990 § 5º do art. 20,normalized,1
Lei 8.112 217,Lei nº 8.112 217,normalized,1
Lei 8.112 217 II d,Lei nº 8.112 217 II d,normalized,1
Lei 8.112 217 IV,Lei nº 8.112 217 IV,normalized,1
Lei 8.112 58 § 2º,Lei nº 8.112 58 § 2º,normalized,1
Lei 8.112 68 § 2°,Lei nº 8.112 68 § 2°,normalized,1
Lei 8.112/1990 Art 20 § 5º,Lei nº 8.112/1990 art. 20 § 5º,normalized,1
Lei 8.112/1990 Art 58 § 1º,Lei nº 8.112/1990 art. 58 § 1º,normalized,1
Lei 8.112/1990 Art 96-A § 2º,Lei nº 8.112/1990 art. 96-A § 2º,normalized,1
Lei 8.112/1990 art 100,Lei nº 8.112/1990 art. 100,normalized,1
Lei 8.112/1990 art 102 VIII b,Lei nº 8.112/1990 art. 102 inc. VIII al. b,normalized,1
Lei 8.112/1990 art 117 VI,Lei nº 8.112/1990 art. 117 inc. VI,normalized,1
Lei 8.112/1990 art 127,Lei nº 8.112/1990 art. 127,normalized,1
Lei 8.112/1990 art 134,Lei nº 8.112/1990 art. 134,normalized,1
Lei 8.112/1990 art 143,Lei nº 8.112/1990 art. 143,normalized,1
Lei 8.112/1990 art 198,Lei nº 8.112/1990 art. 198,normalized,1
Lei 8.112/1990 art 20 § 2º,Lei nº 8.112/1990 art. 20 § 2º,normalized,1
Lei 8.112/1990 art 207 § 2º,Lei nº 8.112/1990 art. 207 § 2º,normalized,1
Lei 8.112/1990 art 230,Lei nº 8.112/1990 art. 230,normalized,1
Lei 8.112/1990 art 29,Lei nº 8.112/1990 art. 29,normalized,1
Lei 8.112/1990 art 37 inciso I,Lei nº 8.112/1990 art. 37 inc. I,normalized,1
Lei 8.112/1990 art 41 § 1º,Lei nº 8.112/1990 art. 41 § 1º,normalized,1
Lei 8.112/1990 art 68 § 1º,Lei nº 8.112/1990 art. 68 § 1º,normalized,1
Lei 8.112/1990 art 68 § 2º,Lei nº 8.112/1990 art. 68 § 2º,normalized,1
Lei 8.112/1990 art 77 § 1º,Lei nº 8.112/1990 art. 77 § 1º,normalized,1
Lei 8.112/1990 art 7º,Lei nº 8.112/1990 art. 7º,normalized,1
Lei 8.112/1990 art 8º,Lei nº 8.112/1990 art. 8º,normalized,1
Lei 8.112/1990 art. 186 § 1º,Lei nº 8.112/1990 art. 186 § 1º,normalized,1
Lei 8.112/1990 art. 190,Lei nº 8.112/1990 art. 190,normalized,1
Lei 8.112/1990 art. 98 § 3º,Lei nº 8.112/1990 art. 98 § 3º,normalized,1
Lei 8.112/1990 § 2º Art 142,Lei nº 8.112/1990 § 2º art. 142,normalized,1
Lei 8.112/1990 § 2º do art. 46,Lei nº 8.112/1990 § 2º do art. 46,normalized,1
Lei 8.112/1990 § 3º do art. 142,Lei nº 8.112/1990 § 3º do art. 142,normalized,1
Lei 8.1121990 Art 217 II b,Lei nº 8.112/1990 art. 217 inc. II al. b,normalized,1
Lei 8.137 1990 Art 1,Lei nº 8.137/1990 art. 1º,normalized,1
Lei 8.137 1990 Art 2,Lei nº 8.137/1990 art. 2º,normalized,1
Lei 8.137 1990 art 1º I a IV,Lei nº 8.137/1990 art. 1º I a IV,normalized,1
Lei 8.137 1990 art 2º IV,Lei nº 8.137/1990 art. 2º IV,normalized,1
Lei 8.137 1º I,Lei nº 8.137 1º I,normalized,1
Lei 8.137/1990 Art 1º,Lei nº 8.137/1990 art. 1º,normalized,1
Lei 8.137/1990 Art 2º,Lei nº 8.137/1990 art. 2º,normalized,1
Lei 8.137/1990 art. 1º I,Lei nº 8.137/1990 art. 1º I,normalized,1
Lei 8.137/1990 art. 1º inciso I,Lei nº 8.137/1990 art. 1º inc. I,normalized,1
Lei 8.1371990 art 1º inciso I,Lei nº 8.137/1990 art. 1º inc. I,normalized,1
Lei 8.161/1991,Lei nº 8.161/1991,normalized,1
Lei 8.162 1991 art 7 I,Lei nº 8.162/1991 art. 7º inc. I,normalized,1
Lei 8.162 1991 art 7 III,Lei nº 8.162/1991 art. 7º inc. III,normalized,1
Lei 8.176 1991 art 2 § 1º,Lei nº 8.176/1991 art. 2º § 1º,normalized,1
Lei 8.176 1991 art. 2º § 1º,Lei nº 8.176/1991 art. 2º § 1º,normalized,1
Lei 8.176/1991 Art 2º caput,Lei nº 8.176/1991 art. 2º caput,normalized,1
Lei 8.186/1991,Lei nº 8.186/1991,normalized,1
Lei 8.186/1991 art 2 parágrafo único,Lei nº 8.186/1991 art. 2º § único,normalized,1
Lei 8.212 1990 art 13,Lei nº 8.212/1990 art. 13,normalized,1
Lei 8.212 1991,Lei nº 8.212/1991,normalized,1
Lei 8.212 1991 Art 22 II,Lei nº 8.212/1991 art. 22 inc. II,normalized,1
Lei 8.212 1991 art 15 parágrafo único,Lei nº 8.212/1991 art. 15 § único,normalized,1
Lei 8.212 1991 art 21 § 2º II b,Lei nº 8.212/1991 art. 21 § 2º inc. II al. b,normalized,1
Lei 8.212 1991 art 21 § 2º inciso II alínea b,Lei nº 8.212/1991 art. 21 § 2º inc. II al. b,normalized,1
Lei 8.212 1991 art 21 § 4º,Lei nº 8.212/1991 art. 21 § 4º,normalized,1
Lei 8.212 1991 art 21 §2º II a,Lei nº 8.212/1991 art. 21 § 2º inc. II al. a,normalized,1
Lei 8.212 1991 art 22 I,Lei nº 8.212/1991 art. 22 inc. I,normalized,1
Lei 8.212 1991 art 28 § 9º,Lei nº 8.212/1991 art. 28 § 9º,normalized,1
Lei 8.212 1991 art 28 §2º,Lei nº 8.212/1991 art. 28 § 2º,normalized,1
Lei 8.212 1991 art 30 I a,Lei nº 8.212/1991 art. 30 inc. I al. a,normalized,1
Lei 8.212 1991 parágrafo 9º alínea a,Lei nº 8.212/1991 § 9º al. a,normalized,1
Lei 8.212/1991 art 15 II,Lei nº 8.212/1991 art. 15 inc. II,normalized,1
Lei 8.212/1991 art 28 § 9º alínea s,Lei nº 8.212/1991 art. 28 § 9º al. s,normalized,1
Lei 8.212/1991 art 30 I a,Lei nº 8.212/1991 art. 30 inc. I al. a,normalized,1
Lei 8.212/1991 art 55,Lei nº 8.212/1991 art. 55,normalized,1
Lei 8.212/1991 art. 55,Lei nº 8.212/1991 art. 55,normalized,1
Lei 8.213 101 I,Lei nº 8.213 101 I,normalized,1
Lei 8.213 103 parágrafo único,Lei nº 8.213 103 § único,normalized,1
Lei 8.213 1990 art 243,Lei nº 8.213/1990 art. 243,normalized,1
Lei 8.213 1991 Art 102 § 1º,Lei nº 8.213/1991 art. 102 § 1º,normalized,1
Lei 8.213 1991 Art 106 III,Lei nº 8.213/1991 art. 106 inc. III,normalized,1
Lei 8.213 1991 Art 31,Lei nº 8.213/1991 art. 31,normalized,1
Lei 8.213 1991 Art 48 § 3º,Lei nº 8.213/1991 art. 48 § 3º,normalized,1
Lei 8.213 1991 Art 60 §8º,Lei nº 8.213/1991 art. 60 § 8º,normalized,1
Lei 8.213 1991 Art 60 §9º,Lei nº 8.213/1991 art. 60 § 9º,normalized,1
Lei 8.213 1991 art 103 A,Lei nº 8.213/1991 art. 103-A,normalized,1
Lei 8.213 1991 art 110,Lei nº 8.213/1991 art. 110,normalized,1
Lei 8.213 1991 art 115 inciso II,Lei nº 8.213/1991 art. 115 inc. II,normalized,1
Lei 8.213 1991 art 115 parágrafo único,Lei nº 8.213/1991 art. 115 § único,normalized,1
Lei 8.213 1991 art 124 I,Lei nº 8.213/1991 art. 124 inc. I,normalized,1
Lei 8.213 1991 art 15 inciso IV,Lei nº 8.213/1991 art. 15 inc. IV,normalized,1
Lei 8.213 1991 art 15 §1º,Lei nº 8.213/1991 art. 15 § 1º,normalized,1
Lei 8.213 1991 art 15 §2º,Lei nº 8.213/1991 art. 15 § 2º,normalized,1
Lei 8.213 1991 art 16,Lei nº 8.213/1991 art. 16,normalized,1
Lei 8.213 1991 art 16 § 2º,Lei nº 8.213/1991 art. 16 § 2º,normalized,1
Lei 8.213 1991 art 16 §2º,Lei nº 8.213/1991 art. 16 § 2º,normalized,1
Lei 8.213 1991 art 16 §4º,Lei nº 8.213/1991 art. 16 § 4º,normalized,1
Lei 8.213 1991 art 18 § 2º,Lei nº 8.213/1991 art. 18 § 2º,normalized,1
Lei 8.213 1991 art 25,Lei nº 8.213/1991 art. 25,normalized,1
Lei 8.213 1991 art 32,Lei nº 8.213/1991 art. 32,normalized,1
Lei 8.213 1991 art 55 II,Lei nº 8.213/1991 art. 55 inc. II,normalized,1
Lei 8.213 1991 art 57 § 3.º,Lei nº 8.213/1991 art. 57 § 3º,normalized,1
Lei 8.213 1991 art 58,Lei nº 8.213/1991 art. 58,normalized,1
Lei 8.213 1991 art 60 § 8º,Lei nº 8.213/1991 art. 60 § 8º,normalized,1
Lei 8.213 1991 art 62 § 1º,Lei nº 8.213/1991 art. 62 § 1º,normalized,1
Lei 8.213 1991 art 72 § 1º,Lei nº 8.213/1991 art. 72 § 1º,normalized,1
Lei 8.213 1991 art 86,Lei nº 8.213/1991 art. 86,normalized,1
Lei 8.213 1991 art 86 § 2º,Lei nº 8.213/1991 art. 86 § 2º,normalized,1
Lei 8.213 1991 art.115 §3º,Lei nº 8.213/1991 art. 115 § 3º,normalized,1
Lei 8.213 1991 art.115 §4º,Lei nº 8.213/1991 art. 115 § 4º,normalized,1
Lei 8.213 43,Lei nº 8.213 43,normalized,1
Lei 8.213 43 § 4º,Lei nº 8.213 43 § 4º,normalized,1
Lei 8.213 79,Lei nº 8.213 79,normalized,1
Lei 8.213/1991 Art 48 § 3º,Lei nº 8.213/1991 art. 48 § 3º,normalized,1
Lei 8.213/1991 Art 60 §8,Lei nº 8.213/1991 art. 60 § 8º,normalized,1
Lei 8.213/1991 Art 60 §9,Lei nº 8.213/1991 art. 60 § 9º,normalized,1
Lei 8.213/1991 art 15 §§ 1º e 2º,Lei nº 8.213/1991 art. 15 § § 1º e 2º,normalized,1
Lei 8.213/1991 art 16 I,Lei nº 8.213/1991 art. 16 inc. I,normalized,1
Lei 8.213/1991 art 16 § 4º,Lei nº 8.213/1991 art. 16 § 4º,normalized,1
Lei 8.213/1991 art 18 § 2º,Lei nº 8.213/1991 art. 18 § 2º,normalized,1
Lei 8.213/1991 art 25 III,Lei nº 8.213/1991 art. 25 inc. III,normalized,1
Lei 8.213/1991 art 31,Lei nº 8.213/1991 art. 31,normalized,1
Lei 8.213/1991 art 34,Lei nº 8.213/1991 art. 34,normalized,1
Lei 8.213/1991 art 47,Lei nº 8.213/1991 art. 47,normalized,1
Lei 8.213/1991 art 55 I,Lei nº 8.213/1991 art. 55 inc. I,normalized,1
Lei 8.213/1991 art 55 § 3º,Lei nº 8.213/1991 art. 55 § 3º,normalized,1
Lei 8.213/1991 art. 74,Lei nº 8.213/1991 art. 74,normalized,1
Lei 8.2131991,Lei nº 8.213/1991,normalized,1
Lei 8.2131991 Art 48 § 3º,Lei nº 8.213/1991 art. 48 § 3º,normalized,1
Lei 8.237/1991,Lei nº 8.237/1991,normalized,1
Lei 8.270/1991,Lei nº 8.270/1991,normalized,1
Lei 8.270/1991 art 12 I,Lei nº 8.270/1991 art. 12 inc. I,normalized,1
Lei 8.315/1991,Lei nº 8.315/1991,normalized,1
Lei 8.427/1992,Lei nº 8.427/1992,normalized,1
Lei 8.429 1992 Art 10,Lei nº 8.429/1992 art. 10,normalized,1
Lei 8.429 1992 Art 9,Lei nº 8.429/1992 art. 9º,normalized,1
Lei 8.429 1992 art 11 inciso II,Lei nº 8.429/1992 art. 11 inc. II,normalized,1
Lei 8.429 1992 art 11 inciso VI,Lei nº 8.429/1992 art. 11 inc. VI,normalized,1
Lei 8.429 1992 art 16 §3º,Lei nº 8.429/1992 art. 16 § 3º,normalized,1
Lei 8.429 1992 art 17 § 4º,Lei nº 8.429/1992 art. 17 § 4º,normalized,1
Lei 8.429 1992 art 2º,Lei nº 8.429/1992 art. 2º,normalized,1
Lei 8.429 1992 art 8º,Lei nº 8.429/1992 art. 8º,normalized,1
Lei 8.429 1992 art 9º XI,Lei nº 8.429/1992 art. 9º XI,normalized,1
Lei 8.429 1992 art 9º XII,Lei nº 8.429/1992 art. 9º XII,normalized,1
Lei 8.429 1992 art 9º inciso XI,Lei nº 8.429/1992 art. 9º inc. XI,normalized,1
Lei 8.429 1992 arts 9º 10 11,Lei nº 8.429/1992 art. 9º 10 11,normalized,1
Lei 8.429 1992 paragrafo 2o,Lei nº 8.429/1992 § 2º,normalized,1
Lei 8.429 Art 7 parágrafo único,Lei nº 8.429 art. 7º § único,normalized,1
Lei 8.429/1992 Art 12,Lei nº 8.429/1992 art. 12,normalized,1
Lei 8.429/1992 Art 16 §13,Lei nº 8.429/1992 art. 16 § 13,normalized,1
Lei 8.429/1992 Art 23 II,Lei nº 8.429/1992 art. 23 inc. II,normalized,1
Lei 8.429/1992 Art 9,Lei nº 8.429/1992 art. 9º,normalized,1
Lei 8.429/1992 art 11 XI,Lei nº 8.429/1992 art. 11 inc. XI,normalized,1
Lei 8.429/1992 art 11 caput,Lei nº 8.429/1992 art. 11 caput,normalized,1
Lei 8.429/1992 art 16 § 14,Lei nº 8.429/1992 art. 16 § 14,normalized,1
Lei 8.429/1992 art 17,Lei nº 8.429/1992 art. 17,normalized,1
Lei 8.429/1992 art 17 §10 F,Lei nº 8.429/1992 art. 17 § 10 F,normalized,1
Lei 8.429/1992 art 17 §7º,Lei nº 8.429/1992 art. 17 § 7º,normalized,1
Lei 8.429/1992 art 17 §9º,Lei nº 8.429/1992 art. 17 § 9º,normalized,1
Lei 8.429/1992 art 1º,Lei nº 8.429/1992 art. 1º,normalized,1
Lei 8.429/1992 art 20,Lei nº 8.429/1992 art. 20,normalized,1
Lei 8.429/1992 art 23 I,Lei nº 8.429/1992 art. 23 inc. I,normalized,1
Lei 8.429/1992 art 23 §4º I,Lei nº 8.429/1992 art. 23 § 4º inc. I,normalized,1
Lei 8.429/1992 art 23 §4º II,Lei nº 8.429/1992 art. 23 § 4º inc. II,normalized,1
Lei 8.429/1992 art 23 §4º III,Lei nº 8.429/1992 art. 23 § 4º inc. III,normalized,1
Lei 8.429/1992 art 23 §4º IV,Lei nº 8.429/1992 art. 23 § 4º inc. IV,normalized,1
Lei 8.429/1992 art 23 §4º V,Lei nº 8.429/1992 art. 23 § 4º inc. V,normalized,1
Lei 8.4291992 art. 10,Lei nº 8.429/1992 art. 10,normalized,1
Lei 8.4291992 art. 11,Lei nº 8.429/1992 art. 11,normalized,1
Lei 8.4291992 art. 17 § 10-F,Lei nº 8.429/1992 art. 17 § 10-F,normalized,1
Lei 8.4291992 art. 9º XII,Lei nº 8.429/1992 art. 9º XII,normalized,1
Lei 8.437 1992 art 1o § 3o,Lei nº 8.437/1992 art. 1º § 3º,normalized,1
Lei 8.437 1992 art 4º,Lei nº 8.437/1992 art. 4º,normalized,1
Lei 8.625/1993 Art 45,Lei nº 8.625/1993 art. 45,normalized,1
Lei 8.629/1993 art 2º § 6º,Lei nº 8.629/1993 art. 2º § 6º,normalized,1
Lei 8.629/1993 art 5º § 8º,Lei nº 8.629/1993 art. 5º § 8º,normalized,1
Lei 8.660 1993 art 7º,Lei nº 8.660/1993 art. 7º,normalized,1
Lei 8.666 1993 art 13 inciso V,Lei nº 8.666/1993 art. 13 inc. V,normalized,1
Lei 8.666 1993 art 25 inciso II,Lei nº 8.666/1993 art. 25 inc. II,normalized,1
Lei 8.666 1993 art 25 par 1,Lei nº 8.666/1993 art. 25 § 1º,normalized,1
Lei 8.666 1993 art 48 II,Lei nº 8.666/1993 art. 48 inc. II,normalized,1
Lei 8.666 1993 art 89,Lei nº 8.666/1993 art. 89,normalized,1
Lei 8.666 1993 art 97 parágrafo único,Lei nº 8.666/1993 art. 97 § único,normalized,1
Lei 8.666 1993 arts 89 108,Lei nº 8.666/1993 art. 89.108,normalized,1
Lei 8.666/1993,Lei nº 8.666/1993,normalized,1
Lei 8.666/1993 Art 70,Lei nº 8.666/1993 art. 70,normalized,1
Lei 8.666/1993 art 10 inciso II letra d,Lei nº 8.666/1993 art. 10 inc. II letra d,normalized,1
Lei 8.666/1993 art 89 caput,Lei nº 8.666/1993 art. 89 caput,normalized,1
Lei 8.666/1993 art. 38 parágrafo único,Lei nº 8.666/1993 art. 38 § único,normalized,1
Lei 8.6661993 art 55 XIII,Lei nº 8.666/1993 art. 55 inc. XIII,normalized,1
Lei 8.742 1993,Lei nº 8.742/1993,normalized,1
Lei 8.742/1993,Lei nº 8.742/1993,normalized,1
Lei 8.742/1993 art 20,Lei nº 8.742/1993 art. 20,normalized,1
Lei 8.742/1993 art. 20 § 4º,Lei nº 8.742/1993 art. 20 § 4º,normalized,1
Lei 8.742/1993 artigo 20 § 4º,Lei nº 8.742/1993 art. 20 § 4º,normalized,1
Lei 8.745 1993 Art 9º inciso III,Lei nº 8.745/1993 art. 9º inc. III,normalized,1
Lei 8.745/1993,Lei nº 8.745/1993,normalized,1
Lei 8.870 1994 Art 25 I,Lei nº 8.870/1994 art. 25 inc. I,normalized,1
Lei 8.870 1994 Art 25 II,Lei nº 8.870/1994 art. 25 inc. II,normalized,1
Lei 8.878 1994 art 1º,Lei nº 8.878/1994 art. 1º,normalized,1
Lei 8.899 1994,Lei nº 8.899/1994,normalized,1
Lei 8.899/1994,Lei nº 8.899/1994,normalized,1
Lei 8.906 1994,Lei nº 8.906/1994,normalized,1
Lei 8.906 1994 art 22 § 4º,Lei nº 8.906/1994 art. 22 § 4º,normalized,1
Lei 8.906 1994 art 27,Lei nº 8.906/1994 art. 27,normalized,1
Lei 8.906 1994 art 28,Lei nº 8.906/1994 art. 28,normalized,1
Lei 8.906 1994 art 28 VII,Lei nº 8.906/1994 art. 28 inc. VII,normalized,1
Lei 8.906 1994 art 7º V,Lei nº 8.906/1994 art. 7º V,normalized,1
Lei 8.906 1994 art. 28,Lei nº 8.906/1994 art. 28,normalized,1
Lei 8.906 1994 art. 30,Lei nº 8.906/1994 art. 30,normalized,1
Lei 8.906/1994,Lei nº 8.906/1994,normalized,1
Lei 8.906/1994 art 23,Lei nº 8.906/1994 art. 23,normalized,1
Lei 8.906/1994 art 7º II,Lei nº 8.906/1994 art. 7º II,normalized,1
Lei 8.911 1994,Lei nº 8.911/1994,normalized,1
Lei 8.934/1994,Lei nº 8.934/1994,normalized,1
Lei 8.958 1994 art 4,Lei nº 8.958/1994 art. 4º,normalized,1
Lei 8.981 1995 Art 84 § 8º,Lei nº 8.981/1995 art. 84 § 8º,normalized,1
Lei 8.989/95,Lei nº 8.989/1995,normalized,1
Lei 8069 1990 art 33 §3º,Lei nº 8.069/1990 art. 33 § 3º,normalized,1
Lei 8112 1990 art 243,Lei nº 8.112/1990 art. 243,normalized,1
Lei 8176 1991 art 2 § 1º,Lei nº 8.176/1991 art. 2º § 1º,normalized,1
Lei 8213 1991 art 86,Lei nº 8.213/1991 art. 86,normalized,1
Lei 8460 1992 Art 22 § 2º,Lei nº 8.460/1992 art. 22 § 2º,normalized,1
Lei 8629 1993 Art 12 IV,Lei nº 8.629/1993 art. 12 inc. IV,normalized,1
Lei 8829 1993 art 1o,Lei nº 8.829/1993 art. 1º,normalized,1
Lei 8906 1994 art 7 II,Lei nº 8.906/1994 art. 7º inc. II,normalized,1
Lei 9.007 1995,Lei nº 9.007/1995,normalized,1
Lei 9.032/1995,Lei nº 9.032/1995,normalized,1
Lei 9.093/1995,Lei nº 9.093/1995,normalized,1
Lei 9.099 1995 art 55,Lei nº 9.099/1995 art. 55,normalized,1
Lei 9.099 1995 art 61,Lei nº 9.099/1995 art. 61,normalized,1
Lei 9.099 1995 art. 59,Lei nº 9.099/1995 art. 59,normalized,1
Lei 9.099/1995 art 10,Lei nº 9.099/1995 art. 10,normalized,1
Lei 9.099/1995 art 2º,Lei nº 9.099/1995 art. 2º,normalized,1
Lei 9.138 1995,Lei nº 9.138/1995,normalized,1
Lei 9.249 1995 art 15 §1º III a,Lei nº 9.249/1995 art. 15 § 1º inc. III al. a,normalized,1
Lei 9.249 1995 art 20,Lei nº 9.249/1995 art. 20,normalized,1
Lei 9.249/1995,Lei nº 9.249/1995,normalized,1
Lei 9.249/1995 arts 15 III a e 20,Lei nº 9.249/1995 art. 15 inc. III al. a e 20,normalized,1
Lei 9.250 1995,Lei nº 9.250/1995,normalized,1
Lei 9.250 1995 art 26,Lei nº 9.250/1995 art. 26,normalized,1
Lei 9.250 1995 art 39 § 4º,Lei nº 9.250/1995 art. 39 § 4º,normalized,1
Lei 9.255/1996,Lei nº 9.255/1996,normalized,1
Lei 9.279 1916,Lei nº 9.279/1916,normalized,1
Lei 9.279 1996,Lei nº 9.279/1996,normalized,1
Lei 9.289 1996 art 11 § 1º,Lei nº 9.289/1996 art. 11 § 1º,normalized,1
Lei 9.294/1996,Lei nº 9.294/1996,normalized,1
Lei 9.296 1996 Art 2º,Lei nº 9.296/1996 art. 2º,normalized,1
Lei 9.296 1996 art 5,Lei nº 9.296/1996 art. 5º,normalized,1
Lei 9.296 2º I,Lei nº 9.296 2º I,normalized,1
Lei 9.296 2º II,Lei nº 9.296 2º II,normalized,1
Lei 9.311 1996,Lei nº 9.311/1996,normalized,1
Lei 9.311 1996 art 5 § 3º,Lei nº 9.311/1996 art. 5º § 3º,normalized,1
Lei 9.317 1996,Lei nº 9.317/1996,normalized,1
Lei 9.393/1996 art 10 §6º I,Lei nº 9.393/1996 art. 10 § 6º inc. I,normalized,1
Lei 9.394 1996 art 47 § 2º,Lei nº 9.394/1996 art. 47 § 2º,normalized,1
Lei 9.394 1996 art 48,Lei nº 9.394/1996 art. 48,normalized,1
Lei 9.394 1996 art 48 §2º,Lei nº 9.394/1996 art. 48 § 2º,normalized,1
Lei 9.394 1996 art 49,Lei nº 9.394/1996 art. 49,normalized,1
Lei 9.394/1996 art 80 parágrafo 2,Lei nº 9.394/1996 art. 80 § 2º,normalized,1
Lei 9.394/1996 art 9 inciso IX,Lei nº 9.394/1996 art. 9º inc. IX,normalized,1
Lei 9.421/1996,Lei nº 9.421/1996,normalized,1
Lei 9.430 1996 art 42,Lei nº 9.430/1996 art. 42,normalized,1
Lei 9.430 1996 art 61,Lei nº 9.430/1996 art. 61,normalized,1
Lei 9.430 1996 art 74 § 12 II c,Lei nº 9.430/1996 art. 74 § 12 inc. II al. c,normalized,1
Lei 9.430 1996 art 74 § 3º inciso IX,Lei nº 9.430/1996 art. 74 § 3º inc. IX,normalized,1
Lei 9.430 1996 art 74 §11,Lei nº 9.430/1996 art. 74 § 11,normalized,1
Lei 9.430 1996 art 74 §13,Lei nº 9.430/1996 art. 74 § 13,normalized,1
Lei 9.430 1996 art 79,Lei nº 9.430/1996 art. 79,normalized,1
Lei 9.430/1996 Art 83 § 2º,Lei nº 9.430/1996 art. 83 § 2º,normalized,1
Lei 9.430/1996 art 44 § 2º,Lei nº 9.430/1996 art. 44 § 2º,normalized,1
Lei 9.430/1996 art 63 § 2º,Lei nº 9.430/1996 art. 63 § 2º,normalized,1
Lei 9.430/1996 art 74 § 12 II c,Lei nº 9.430/1996 art. 74 § 12 inc. II al. c,normalized,1
Lei 9.430/1996 art 81,Lei nº 9.430/1996 art. 81,normalized,1
Lei 9.452/1997 art 2º,Lei nº 9.452/1997 art. 2º,normalized,1
Lei 9.455/1997 Art 1º I,Lei nº 9.455/1997 art. 1º I,normalized,1
Lei 9.469/1998 art 58,Lei nº 9.469/1998 art. 58,normalized,1
Lei 9.472 1997 art 183,Lei nº 9.472/1997 art. 183,normalized,1
Lei 9.472/1997,Lei nº 9.472/1997,normalized,1
Lei 9.478/1997 art 68-A § 2º inciso II,Lei nº 9.478/1997 art. 68-A § 2º inc. II,normalized,1
Lei 9.492 1997 art 1º parágrafo único,Lei nº 9.492/1997 art. 1º § único,normalized,1
Lei 9.494 1997,Lei nº 9.494/1997,normalized,1
Lei 9.494 1997 Art 1º F,Lei nº 9.494/1997 art. 1º F,normalized,1
Lei 9.494/1997,Lei nº 9.494/1997,normalized,1
Lei 9.494/1997 art 2º-A,Lei nº 9.494/1997 art. 2º-A,normalized,1
Lei 9.503 1997 art 21 inciso VI,Lei nº 9.503/1997 art. 21 inc. VI,normalized,1
Lei 9.504/1997 art. 73 inciso V,Lei nº 9.504/1997 art. 73 inc. V,normalized,1
Lei 9.514 1997,Lei nº 9.514/1997,normalized,1
Lei 9.514 1997 Art 26 § 3º,Lei nº 9.514/1997 art. 26 § 3º,normalized,1
Lei 9.514 1997 Art 26 § 4º,Lei nº 9.514/1997 art. 26 § 4º,normalized,1
Lei 9.514 1997 art 27 § 2º-A,Lei nº 9.514/1997 art. 27 § 2º-A,normalized,1
Lei 9.514 1997 art 27 § 8º,Lei nº 9.514/1997 art. 27 § 8º,normalized,1
Lei 9.514/1997 art. 27 § 2º-A,Lei nº 9.514/1997 art. 27 § 2º-A,normalized,1
Lei 9.519 1997,Lei nº 9.519/1997,normalized,1
Lei 9.527 1997,Lei nº 9.527/1997,normalized,1
Lei 9.527 1997 art 15 § 1º,Lei nº 9.527/1997 art. 15 § 1º,normalized,1
Lei 9.527/1997,Lei nº 9.527/1997,normalized,1
Lei 9.528 1997 Art 86 §§ 2º 3º,Lei nº 9.528/1997 art. 86 § § 2º 3º,normalized,1
Lei 9.532 1997 Art 64,Lei nº 9.532/1997 art. 64,normalized,1
Lei 9.532 1997 Art 64 §8º,Lei nº 9.532/1997 art. 64 § 8º,normalized,1
Lei 9.532 1997 Art 64 §9º,Lei nº 9.532/1997 art. 64 § 9º,normalized,1
Lei 9.532/1997,Lei nº 9.532/1997,normalized,1
Lei 9.532/1997 art 11,Lei nº 9.532/1997 art. 11,normalized,1
Lei 9.536 1997,Lei nº 9.536/1997,normalized,1
Lei 9.605 1940 art 50 A § 1º,Lei nº 9.605/1940 art. 50-A § 1º,normalized,1
Lei 9.605 1998,Lei nº 9.605/1998,normalized,1
Lei 9.605 1998 Art 34 parágrafo único III,Lei nº 9.605/1998 art. 34 § único III,normalized,1
Lei 9.605 1998 Art 40 parnico,Lei nº 9.605/1998 art. 40 parnico,normalized,1
Lei 9.605 1998 Art 46,Lei nº 9.605/1998 art. 46,normalized,1
Lei 9.605 1998 Artigo 34 Parágrafo único III,Lei nº 9.605/1998 art. 34 § único III,normalized,1
Lei 9.605 1998 art 29,Lei nº 9.605/1998 art. 29,normalized,1
Lei 9.605 1998 art 38,Lei nº 9.605/1998 art. 38,normalized,1
Lei 9.605 1998 art 40,Lei nº 9.605/1998 art. 40,normalized,1
Lei 9.605 1998 art 46 parágrafo único,Lei nº 9.605/1998 art. 46 § único,normalized,1
Lei 9.605 1998 art 52,Lei nº 9.605/1998 art. 52,normalized,1
Lei 9.605 1998 art. 3º,Lei nº 9.605/1998 art. 3º,normalized,1
Lei 9.605 1998 art. 55,Lei nº 9.605/1998 art. 55,normalized,1
Lei 9.605 Art 29 § 4º V,Lei nº 9.605 art. 29 § 4º inc. V,normalized,1
Lei 9.605/1998 art 29 § 1º III,Lei nº 9.605/1998 art. 29 § 1º inc. III,normalized,1
Lei 9.605/1998 art 56,Lei nº 9.605/1998 art. 56,normalized,1
Lei 9.605/1998 art 6,Lei nº 9.605/1998 art. 6º,normalized,1
Lei 9.605/1998 art 6º,Lei nº 9.605/1998 art. 6º,normalized,1
