page_id,numero_processo,informativo,classe_before,classe_after,subramo_before,subramo_after,updated_properties,error,page_url
30d72195-5c64-8127-9a47-dd1df58e641f,1019592-42.2023.4.01.0000,685,,MSCrim,"Direito Penal Substantivo, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""8ed8bafa-2f97-40f8-ab63-6c1f1a829fbf""}",https://www.notion.so/Sequestro-de-bens-e-discuss-o-sobre-aplica-o-flex-vel-do-prazo-do-art-131-inciso-I-do-CPP-diante-30d721955c6481279a47dd1df58e641f
30d72195-5c64-812f-87f6-ec591e2ee729,1104447-36.2023.4.01.3400,722,,ReeNecCrim,"Direito Penal Administrativo, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""94715865-39f2-41fa-a75f-bcf989d38df1""}",https://www.notion.so/Atipicidade-de-conduta-de-servidor-p-blico-que-aufere-remunera-o-sem-prestar-servi-os-e-aus-ncia-de-30d721955c64812f87f6ec591e2ee729
30d72195-5c64-8130-98ca-e0958cfd25c9,1005654-77.2023.4.01.0000,740,,SuspApel,"Processo de Execução, Tutela de Urgência e Medidas Cautelares",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""78f97e67-fa58-433e-9e66-6c1be7c783ec""}",https://www.notion.so/Pedido-de-efeito-suspensivo-em-apela-o-contra-senten-a-que-extingue-processo-de-desapropria-o-para-30d721955c64813098cae0958cfd25c9
30d72195-5c64-8131-8091-fdb98cf0eb11,1036808-64.2024.4.01.3400,747,,ReeNecCrim,"Direito Administrativo, Processo Administrativo",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""c2f8cd50-cb64-40d5-9560-ad2f34851a1b""}",https://www.notion.so/Anula-o-de-processo-administrativo-migrat-rio-por-notifica-o-exclusivamente-eletr-nica-sem-comprov-30d721955c6481318091fdb98cf0eb11
30d72195-5c64-8133-a9cb-f84004f430a8,1039158-79.2020.4.01.0000,615,,AgRRvCr,"Direito Penal Comum, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""4501450a-150d-4d85-ab2c-66278a1557b0""}",https://www.notion.so/Revis-o-criminal-como-medida-excepcional-para-corrigir-contradi-o-patente-ou-acolher-prova-nova-que-30d721955c648133a9cbf84004f430a8
30d72195-5c64-8136-987a-cf4bbd789539,1018238-44.2021.4.01.3300,709,,ApRemNec,"Contencioso Administrativo e Judicial Tributário, Tributação Federal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""0a525c54-da5e-496b-b2e1-e8ffe88cc9fe""}",https://www.notion.so/Exclus-o-de-benef-cios-fiscais-de-ICMS-da-base-de-c-lculo-do-IRPJ-e-CSLL-versus-necessidade-de-compr-30d721955c648136987acf4bbd789539
30d72195-5c64-813c-b7f1-efc502b52253,1031215-77.2021.4.01.3200,764,,EINul,"Direito Penal Substantivo, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""b6a31500-e003-4edb-9c77-1c3a7c292ac5""}",https://www.notion.so/Incidente-de-insanidade-mental-em-processo-penal-sobre-estupro-de-vulner-vel-e-divulga-o-de-cena-ex-30d721955c64813cb7f1efc502b52253
30d72195-5c64-813e-a911-c9d03bed9972,1010863-56.2025.4.01.0000,749,,EDHC,"Direito Penal Especial, Direito Processual Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""ee7661a1-2af2-494d-bc87-2a57de503c6b""}",https://www.notion.so/Trancamento-excepcional-de-inqu-rito-policial-em-habeas-corpus-frente-a-controv-rsia-f-tica-ind-cio-30d721955c64813ea911c9d03bed9972
30d72195-5c64-813f-a5e8-d01011545e2c,1022830-40.2021.4.01.0000,666,,EDAI,"Direito Administrativo Financeiro, Direito Administrativo Sancionador",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""c71cf573-d665-424e-9de3-4377d6db1d54""}",https://www.notion.so/Servidor-p-blico-que-obt-m-vantagem-remunerat-ria-por-mandado-de-seguran-a-e-controv-rsia-sobre-in-c-30d721955c64813fa5e8d01011545e2c
30d72195-5c64-8140-9375-df8924235d30,0003465-26.2012.4.01.3300,755,,EInfNul,"Direito Tributário, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""d208869a-8355-462a-a517-0b8c615da4ae""}",https://www.notion.so/Nulidade-e-impugna-o-de-lan-amento-tribut-rio-discutidas-em-ju-zo-penal-versus-necessidade-de-via-p-30d721955c6481409375df8924235d30
