before,after,rows
"CF/88 art 37 §3º, CF/88 art 37 §6º, CF/88 art 5º X","CF/88 art. 37 § 3º, CF/88 art. 37 § 6º, CF/88 art. 5º X",1
"CF/88 art 37 §4º, Lei 7.347/1985, Lei 8.429/1992 Art 12, Lei 8.429/1992 art 10, Lei 8.429/1992 art 11, Lei 8.429/1992 art 9º, RITRF 1ª Região Art 8º §3º I, RITRF 1ª Região Art 8º §3º VII","CF/88 art. 37 § 4º, Lei nº 7.347/1985, Lei nº 8.429/1992 art. 12, Lei nº 8.429/1992 art. 10, Lei nº 8.429/1992 art. 11, Lei nº 8.429/1992 art. 9º, RITRF 1ª Região art. 8º § 3º inc. I, RITRF 1ª Região art. 8º § 3º inc. VII",1
CF/88 art 37 §5º,CF/88 art. 37 § 5º,1
"CF/88 art 37 §5º, Lei nº 6.830 1980","CF/88 art. 37 § 5º, Lei nº 6.830/1980",1
"CF/88 art 37 §5º, Lei nº 6.830/1980","CF/88 art. 37 § 5º, Lei nº 6.830/1980",1
"CF/88 art 37 §6º, CPC/2015 art 143, LC 35 1979 art 49","CF/88 art. 37 § 6º, CPC/2015 art. 143, LC 35 1979 art. 49",1
"CF/88 art 37 §6º, CPC/2015 art 371, CPC/2015 art 479","CF/88 art. 37 § 6º, CPC/2015 art. 371, CPC/2015 art. 479",1
"CF/88 art 37 §6º, Lei nº 9.782/1999, Portaria 33 do Secretário de Estado da Saúde do Distrito Federal de 28/12/2000","CF/88 art. 37 § 6º, Lei nº 9.782/1999, Portaria 33 do Secretário de Estado da Saúde do Distrito Federal. de 28/12/2000",1
"CF/88 art 37 §§ 4º e 11, Lei nº 8.270/1991 Art 17, Loman art 65 X, MP 1.573/1996","CF/88 art. 37 § § 4º e 11, Lei nº 8.270/1991 art. 17, Loman art. 65 inc. X, MP nº 1.573/1996",1
CF/88 art 38 III,CF/88 art. 38 inc. III,1
"CF/88 art 38 III, Lei nº 8.112/1990 art 94 III","CF/88 art. 38 inc. III, Lei nº 8.112/1990 art. 94 inc. III",1
"CF/88 art 39 § 1º inciso I, Lei nº 10.842 2004","CF/88 art. 39 § 1º inc. I, Lei nº 10.842/2004",1
"CF/88 art 39 § 4º, CF/88 art 7º XXIII, Decreto 9.224 2017, Lei nº 12.855 2013, Lei nº 8.112 1990, Portaria 455 2017","CF/88 art. 39 § 4º, CF/88 art. 7º XXIII, Decreto nº 9.224/2017, Lei nº 12.855/2013, Lei nº 8.112/1990, Portaria 455 2017",1
"CF/88 art 39 § 4º, Emenda Constitucional 19 1998, Lei nº 11.358 2006, MP 305 2006","CF/88 art. 39 § 4º, EC 19/1998, Lei nº 11.358/2006, MP nº 305/2006",1
"CF/88 art 39 § 4º, Lei 11.776/2008, Lei nº 11.890/2008","CF/88 art. 39 § 4º, Lei nº 11.776/2008, Lei nº 11.890/2008",1
"CF/88 art 39, Emenda Constitucional 19 1998, Lei 9.469/1998 art 58, Lei nº 8.112/1990 art 243","CF/88 art. 39, EC 19/1998, Lei nº 9.469/1998 art. 58, Lei nº 8.112/1990 art. 243",1
"CF/88 art 39, Lei nº 8.112/90, Lei nº 9.649/1998 art 58 § 3º","CF/88 art. 39, Lei nº 8.112/1990, Lei nº 9.649/1998 art. 58 § 3º",1
"CF/88 art 39, Lei nº 9.649 1998, Lei nº 9.649 1998 art 58 § 3º","CF/88 art. 39, Lei nº 9.649/1998, Lei nº 9.649/1998 art. 58 § 3º",1
"CF/88 art 3o da EC 20 1998, Lei nº 9.876/1999","CF/88 art. 3º da EC 20/1998, Lei nº 9.876/1999",1
"CF/88 art 3º I, Lei nº 8.899/1994","CF/88 art. 3º I, Lei nº 8.899/1994",1
"CF/88 art 3º III, Lei nº 11.494/2007, Portaria 17 2023","CF/88 art. 3º III, Lei nº 11.494/2007, Portaria 17 2023",1
CF/88 art 40,CF/88 art. 40,1
"CF/88 art 40 do ADCT, Lei nº 10.637/2002, Lei nº 10.833/2003","CF/88 art. 40 do ADCT, Lei nº 10.637/2002, Lei nº 10.833/2003",1
"CF/88 art 40 par 19, Lei nº 8.112/1990 art 41, Lei nº 8.112/1990 art 63, Lei nº 8.112/1990 art 76, Smule Vinculante 37","CF/88 art. 40 par 19, Lei nº 8.112/1990 art. 41, Lei nº 8.112/1990 art. 63, Lei nº 8.112/1990 art. 76, Smule Vinculante 37",1
"CF/88 art 40 § 10, LC 51/1985, Lei nº 3.313/1957, Lei nº 4.878/1965","CF/88 art. 40 § 10, LC 51/1985, Lei nº 3.313/1957, Lei nº 4.878/1965",1
"CF/88 art 40 § 10, Lei nº 6.903/1981 art 4º, Regimento Interno do TRT da 8ª Região art 232 § 3º","CF/88 art. 40 § 10, Lei nº 6.903/1981 art. 4º, Regimento Interno do TRT da 8ª Região art. 232 § 3º",1
"CF/88 art 40 § 10, Lei nº 8.878 1994, Lei nº 8.878 1994 art 6º","CF/88 art. 40 § 10, Lei nº 8.878/1994, Lei nº 8.878/1994 art. 6º",1
"CF/88 art 40 § 11, Emenda Constitucional 20 1998, Súmula 359 STF, Súmula 377 STF, Súmula 384 STF, Súmula 627 STF","CF/88 art. 40 § 11, EC 20/1998, Súmula 359 STF, Súmula 377 STF, Súmula 384 STF, Súmula 627 STF",1
CF/88 art 40 § 16,CF/88 art. 40 § 16,1
"CF/88 art 40 § 16, LC nº 51/1985 art 1º II, Lei nº 12.618/2012","CF/88 art. 40 § 16, LC nº 51/1985 art. 1º II, Lei nº 12.618/2012",1
"CF/88 art 40 § 19, CF/88 art 40 § 4º","CF/88 art. 40 § 19, CF/88 art. 40 § 4º",1
"CF/88 art 40 § 19, CF/88 art 40 § 4º II, LC 51 1985","CF/88 art. 40 § 19, CF/88 art. 40 § 4º inc. II, LC 51 1985",1
"CF/88 art 40 § 19, Emenda Constitucional 41 2003 art 2 § 5, Emenda Constitucional 41 2003 art 3 § 1, Lei nº 10.887 2004 art 7","CF/88 art. 40 § 19, EC 41/2003 art. 2º § 5º, EC 41/2003 art. 3º § 1º, Lei nº 10.887/2004 art. 7º",1
"CF/88 art 40 § 1º I, EC 41 2003 art 40 § 1º I, Lei 8.112 1990 art 186 I § 1º","CF/88 art. 40 § 1º inc. I, EC 41/2003 art. 40 § 1º inc. I, Lei nº 8.112/1990 art. 186 inc. I § 1º",1
"CF/88 art 40 § 1º III a, CF/88 art 40 § 7º I, EC 41 2003 art 7º, EC 47 2005 art 3º","CF/88 art. 40 § 1º inc. III al. a, CF/88 art. 40 § 7º inc. I, EC 41/2003 art. 7º, EC 47/2005 art. 3º",1
"CF/88 art 40 § 4º II, Lei Complementar 144 2014, Lei Complementar 152 2015, Lei Complementar 51 1995, Súmula 359 STF","CF/88 art. 40 § 4º inc. II, LC nº 144/2014, LC nº 152/2015, LC nº 51/1995, Súmula 359 STF",1
"CF/88 art 40 § 4º II, Lei nº 144/2014, Lei nº 152/2015, Lei nº 51/1995 art 1º I","CF/88 art. 40 § 4º inc. II, Lei nº 144/2014, Lei nº 152/2015, Lei nº 51/1995 art. 1º I",1
"CF/88 art 40 § 4º, CF/88 art 40 § 8º, EC 20/1998, EC 41/2003 art 7º, EC 47/2005 arts 2º e 3º, Lei nº 13.464/2017","CF/88 art. 40 § 4º, CF/88 art. 40 § 8º, EC 20/1998, EC 41/2003 art. 7º, EC 47/2005 art. 2º e 3º, Lei nº 13.464/2017",1
"CF/88 art 40 § 4º, Lei nº 11.416/2006, Lei nº 8.112/1990 art 68, Lei nº 8.213/1991 Art 57","CF/88 art. 40 § 4º, Lei nº 11.416/2006, Lei nº 8.112/1990 art. 68, Lei nº 8.213/1991 art. 57",1
"CF/88 art 40 § 7º, EC 41/2003, Lei nº 10.887/2004","CF/88 art. 40 § 7º, EC 41/2003, Lei nº 10.887/2004",1
"CF/88 art 40 § 8º, CPC/1973 art 458 III, CPC/1973 art 469, CPC/1973 art 485 IV, CPC/2015 art 966","CF/88 art. 40 § 8º, CPC/1973 art. 458 inc. III, CPC/1973 art. 469, CPC/1973 art. 485 inc. IV, CPC/2015 art. 966",1
"CF/88 art 40 § 8º, Decreto 20.910/1932, Lei nº 10.474/2002, Lei nº 6.903/1981 art 7º, Lei nº 9.655/1998 Art 5º","CF/88 art. 40 § 8º, Decreto nº 20.910/1932, Lei nº 10.474/2002, Lei nº 6.903/1981 art. 7º, Lei nº 9.655/1998 art. 5º",1
"CF/88 art 40 § 8º, EC 41 2003 art 6º A, EC 70 2012, Lei nº 41/2003, Lei nº 70/2012","CF/88 art. 40 § 8º, EC 41/2003 art. 6º A, EC 70/2012, Lei nº 41/2003, Lei nº 70/2012",1
"CF/88 art 40 § 8º, EC 41/2003","CF/88 art. 40 § 8º, EC 41/2003",1
"CF/88 art 40 § 8º, Lei 10.887 2004, Lei 11.784 2008, Lei 9.717 1998, Orientação Normativa 3 2004","CF/88 art. 40 § 8º, Lei nº 10.887/2004, Lei nº 11.784/2008, Lei nº 9.717/1998, Orientação Normativa 3 2004",1
"CF/88 art 40 §19, CF/88 art 40 §5º, EC 103 2019, EC 41 2003","CF/88 art. 40 § 19, CF/88 art. 40 § 5º, EC 103/2019, EC 41/2003",1
"CF/88 art 40 §1º inciso II, EC 20/1998, Lei nº 8.112/1990 art 33 inciso VIII","CF/88 art. 40 § 1º inc. II, EC 20/1998, Lei nº 8.112/1990 art. 33 inc. VIII",1
CF/88 art 40 §21,CF/88 art. 40 § 21,1
"CF/88 art 40 §2º, Emenda Constitucional 20 1998 art 12, Lei nº 9.783/1999","CF/88 art. 40 § 2º, EC 20/1998 art. 12, Lei nº 9.783/1999",1
"CF/88 art 40 §4º II, EC 103/2019, EC 47/2005, LC 51/1985, Lei 12.618/2012","CF/88 art. 40 § 4º inc. II, EC 103/2019, EC 47/2005, LC 51/1985, Lei nº 12.618/2012",1
"CF/88 art 40 §5º, Decreto 3048 1999 art 62 §2º I","CF/88 art. 40 § 5º, Decreto nº 3.048/1999 art. 62 § 2º inc. I",1
"CF/88 art 40 §8º, EC 20/1998, Lei nº 8.911/1994","CF/88 art. 40 § 8º, EC 20/1998, Lei nº 8.911/1994",1
"CF/88 art 40 §8º, Emenda Constitucional 41 2003 art 7º, Emenda Constitucional 47 2005 art 2º, Emenda Constitucional 47 2005 art 3º","CF/88 art. 40 § 8º, EC 41/2003 art. 7º, EC 47/2005 art. 2º, EC 47/2005 art. 3º",1
"CF/88 art 40 §9 EC 20 1998, Lei 8.112 1990 art 100, Lei 8.112 1990 art 103 inciso I, Lei nº 1.711 1952","CF/88 art. 40 § 9º EC 20/1998, Lei nº 8.112/1990 art. 100, Lei nº 8.112/1990 art. 103 inc. I, Lei nº 1.711/1952",1
"CF/88 art 40, Lei nº 11.090/2005 Art 22, Lei nº 15.141/2025, MP 1.286/2024","CF/88 art. 40, Lei nº 11.090/2005 art. 22, Lei nº 15.141/2025, MP nº 1.286/2024",1
"CF/88 art 40, Lei nº 11.355/2006, Lei nº 11.355/2006 § 6º do art 5º-B, Lei nº 11.784/2008","CF/88 art. 40, Lei nº 11.355/2006, Lei nº 11.355/2006 § 6º do art. 5º-B, Lei nº 11.784/2008",1
"CF/88 art 41 § 4º, Lei nº 8.112/1990 art 20, Lei nº 8.112/1990 art 20 § 2º, Lei nº 8.112/1990 art 29 I","CF/88 art. 41 § 4º, Lei nº 8.112/1990 art. 20, Lei nº 8.112/1990 art. 20 § 2º, Lei nº 8.112/1990 art. 29 inc. I",1
"CF/88 art 41, CLT",CF/88 art. 41,1
"CF/88 art 41, Emenda Constitucional 19 1998, Lei nº 8.112/1990 art 120, Lei nº 8.112/1990 art 20","CF/88 art. 41, EC 19/1998, Lei nº 8.112/1990 art. 120, Lei nº 8.112/1990 art. 20",1
"CF/88 art 43 § 2º III, Lei nº art 40 do ADCT","CF/88 art. 43 § 2º inc. III, Lei nº art. 40 do ADCT",1
"CF/88 art 5 II, CF/88 art 5 LV, Lei 6.437 1977, Lei 9.784 1999 art 2, Lei 9.784 1999 art 3 I, Lei 9.784 1999 art 3 III, Lei 9.784 1999 art 59, RDC 15 2008 art 3, RDC 15 2008 art 4, RDC 39 2013 art 6, RDC 497 2021","CF/88 art. 5º inc. II, CF/88 art. 5º inc. LV, Lei nº 6.437/1977, Lei nº 9.784/1999 art. 2º, Lei nº 9.784/1999 art. 3º inc. I, Lei nº 9.784/1999 art. 3º inc. III, Lei nº 9.784/1999 art. 59, RDC 15 2008 art. 3º, RDC 15 2008 art. 4º, RDC 39 2013 art. 6º, RDC 497 2021",1
"CF/88 art 5 II, CF/88 art 5 XIII, Lei nº 12.302/2010, Resolução Contran 789 2020 art 48 IV","CF/88 art. 5º inc. II, CF/88 art. 5º inc. XIII, Lei nº 12.302/2010, Resolução Contran 789 2020 art. 48 inc. IV",1
"CF/88 art 5 II, CTB artigo atribui ao Denatran função executiva de regulamentar execução das normas do Contran, CTB artigo atribui competência ao Contran para normatizar formação de condutores, Portaria Denatran 238 2014, Resolução Contran 493 2014","CF/88 art. 5º inc. II, Portaria Denatran 238 2014, Resolução Contran 493 2014",1
"CF/88 art 5 LIV, DL nº 37/1966","CF/88 art. 5º inc. LIV, DL nº 37/1966",1
CF/88 art 5 LV,CF/88 art. 5º inc. LV,1
"CF/88 art 5 LV, Lei nº 8.906/1994 art 7 XV, Lei nº 8.906/1994 art 7 XXI","CF/88 art. 5º inc. LV, Lei nº 8.906/1994 art. 7º inc. XV, Lei nº 8.906/1994 art. 7º inc. XXI",1
CF/88 art 5 LXIX,CF/88 art. 5º inc. LXIX,1
"CF/88 art 5 LXXII, Lei nº 9.507/1997","CF/88 art. 5º inc. LXXII, Lei nº 9.507/1997",1
CF/88 art 5 LXXV,CF/88 art. 5º inc. LXXV,1
"CF/88 art 5 XIII, Lei nº 5.517/1968","CF/88 art. 5º inc. XIII, Lei nº 5.517/1968",1
"CF/88 art 5 XL, CP art 107 III, CP art 107 IV, CP art 2, CP art 337 E, Lei 14.133 2021 art 74, Lei 14.133 2021 art 75, Lei 8.666 1993 art 89","CF/88 art. 5º inc. XL, CP art. 107 inc. III, CP art. 107 inc. IV, CP art. 2º, CP art. 337-E, Lei nº 14.133/2021 art. 74, Lei nº 14.133/2021 art. 75, Lei nº 8.666/1993 art. 89",1
CF/88 art 5 inciso II,CF/88 art. 5º inc. II,1
"CF/88 art 5 inciso LV, CF/88 art 60 § 4º, CPP art 392, CPP art 577, CPP art 578","CF/88 art. 5º inc. LV, CF/88 art. 60 § 4º, CPP art. 392, CPP art. 577, CPP art. 578",1
CF/88 art 5 inciso LVIII,CF/88 art. 5º inc. LVIII,1
"CF/88 art 5 inciso LXXIII, Lei nº 7.347/1985 art 3º","CF/88 art. 5º inc. LXXIII, Lei nº 7.347/1985 art. 3º",1
"CF/88 art 5 inciso LXXIV, CPC/2015 Art 99, CPC/2015 art 1.019, Lei nº 1.060/1950 art 4","CF/88 art. 5º inc. LXXIV, CPC/2015 art. 99, CPC/2015 art. 1.019, Lei nº 1.060/1950 art. 4º",1
"CF/88 art 5 inciso LXXV, DL nº 20.910/1932 art 1º","CF/88 art. 5º inc. LXXV, DL nº 20.910/1932 art. 1º",1
"CF/88 art 5 inciso LXXV, DL nº 3.688/1941 art 47, Lei nº 10.259/2001 art 10","CF/88 art. 5º inc. LXXV, DL nº 3.688/1941 art. 47, Lei nº 10.259/2001 art. 10",1
CF/88 art 5 inciso LXXVIII,CF/88 art. 5º inc. LXXVIII,1
"CF/88 art 5 inciso LXXVIII, Lei nº 11.457/2007 art 24","CF/88 art. 5º inc. LXXVIII, Lei nº 11.457/2007 art. 24",1
"CF/88 art 5 inciso LXXVIII, Lei nº 9.784/1999 art 49, Portaria 116/2017 art 53, Portaria 116/2017 art 56","CF/88 art. 5º inc. LXXVIII, Lei nº 9.784/1999 art. 49, Portaria 116/2017 art. 53, Portaria 116/2017 art. 56",1
"CF/88 art 5 inciso X, CPP art 157, Lei 7.492 1986 art 22 parnico","CF/88 art. 5º inc. X, CPP art. 157, Lei nº 7.492/1986 art. 22 parnico",1
"CF/88 art 5 inciso XII, Lei nº 6.530 1978","CF/88 art. 5º inc. XII, Lei nº 6.530/1978",1
"CF/88 art 5 inciso XIII, Lei nº 4.215/1963 art 48 inciso III, Lei nº 8.906/1994 art 8","CF/88 art. 5º inc. XIII, Lei nº 4.215/1963 art. 48 inc. III, Lei nº 8.906/1994 art. 8º",1
"CF/88 art 5 inciso XXIV, DL nº 3.365/1941 art 29, Lei nº 6.015/1973 art 167","CF/88 art. 5º inc. XXIV, DL nº 3.365/1941 art. 29, Lei nº 6.015/1973 art. 167",1
"CF/88 art 5 inciso XXIX, Lei 9.279 1916, Lei 9.279 1996","CF/88 art. 5º inc. XXIX, Lei nº 9.279/1916, Lei nº 9.279/1996",1
CF/88 art 5 inciso XXXIV alinea b,CF/88 art. 5º inc. XXXIV al. b,1
"CF/88 art 5 o LIV, IN 96 2006 art 8 o § 1 o","CF/88 art. 5º LIV, IN 96 2006 art. 8º § 1º",1
"CF/88 art 5, CF/88 art 6","CF/88 art. 5º, CF/88 art. 6º",1
"CF/88 art 5, CF/88 art 6, Convenção sobre a Eliminação de Todas as Formas de Discriminação contra a Mulher, Lei nº 9.394/1996","CF/88 art. 5º, CF/88 art. 6º, Convenção sobre a Eliminação de Todas as Formas de Discriminação contra a Mulher, Lei nº 9.394/1996",1
"CF/88 art 5, CF/88 art 93, CPC/2015 art 10, CPC/2015 art 371, CPC/2015 art 434","CF/88 art. 5º, CF/88 art. 93, CPC/2015 art. 10, CPC/2015 art. 371, CPC/2015 art. 434",1
"CF/88 art 5, CF/88 art 93, CPC/2015 art 272","CF/88 art. 5º, CF/88 art. 93, CPC/2015 art. 272",1
"CF/88 art 5, CLT Art 114, CPC/2015 Art 535, CPC/2015 art 333","CF/88 art. 5º, CLT art. 114, CPC/2015 art. 535, CPC/2015 art. 333",1
"CF/88 art 5, CP Art 1, CP art 2, CPC/2015 Art 485","CF/88 art. 5º, CP art. 1º, CP art. 2º, CPC/2015 art. 485",1
"CF/88 art 5, CP Art 121, CPP art 312","CF/88 art. 5º, CP art. 121, CPP art. 312",1
"CF/88 art 5, CP Art 149, Declaração Universal dos Direitos Humanos art 4º, Pacto Internacional de Direitos Civis e Políticos art 8º, Pacto de São José da Costa Rica art 6º","CF/88 art. 5º, CP art. 149, Declaração Universal. dos Direitos Humanos art. 4º, Pacto Internacional. de Direitos Civis e Políticos art. 8º, Pacto de São José da Costa Rica art. 6º",1
"CF/88 art 5, CP Art 205, CPC/2015 Art 219","CF/88 art. 5º, CP art. 205, CPC/2015 art. 219",1
"CF/88 art 5, CP Art 208, CPC/2015 Art 496","CF/88 art. 5º, CP art. 208, CPC/2015 art. 496",1
"CF/88 art 5, CP Código Civil 2002 art 205, CPC/2015, Lei nº 8.078 1990 art 26, Lei nº 8.078 1990 art 27","CF/88 art. 5º, CP Código Civil 2002 art. 205, Lei nº 8.078/1990 art. 26, Lei nº 8.078/1990 art. 27",1
"CF/88 art 5, CP art 107","CF/88 art. 5º, CP art. 107",1
"CF/88 art 5, CP art 147, CPP art 38","CF/88 art. 5º, CP art. 147, CPP art. 38",1
"CF/88 art 5, CP art 154, CPC/2015 Art 300, Lei nº 4.595/1964","CF/88 art. 5º, CP art. 154, CPC/2015 art. 300, Lei nº 4.595/1964",1
"CF/88 art 5, CP art 155, CPP art 59","CF/88 art. 5º, CP art. 155, CPP art. 59",1
"CF/88 art 5, CP art 171, CP art 297","CF/88 art. 5º, CP art. 171, CP art. 297",1
"CF/88 art 5, CP art 171, CPC/2015 Art 300, Lei nº 4.728/1965 Art 1","CF/88 art. 5º, CP art. 171, CPC/2015 art. 300, Lei nº 4.728/1965 art. 1º",1
"CF/88 art 5, CP art 171, CPC/2015 art 489","CF/88 art. 5º, CP art. 171, CPC/2015 art. 489",1
"CF/88 art 5, CP art 171, CPC/2015 art 523","CF/88 art. 5º, CP art. 171, CPC/2015 art. 523",1
"CF/88 art 5, CP art 20","CF/88 art. 5º, CP art. 20",1
"CF/88 art 5, CP art 297, CP art 304","CF/88 art. 5º, CP art. 297, CP art. 304",1
"CF/88 art 5, CP art 297, CPC/2015 art 185","CF/88 art. 5º, CP art. 297, CPC/2015 art. 185",1
"CF/88 art 5, CP art 317, CPP art 155","CF/88 art. 5º, CP art. 317, CPP art. 155",1
"CF/88 art 5, CP art 33, CPP/2015 art 312, Lei nº 7.210/1984 art 33","CF/88 art. 5º, CP art. 33, CPP/2015 art. 312, Lei nº 7.210/1984 art. 33",1
"CF/88 art 5, CP, CPC/2015, Lei nº 9.656/1998","CF/88 art. 5º, Lei nº 9.656/1998",1
"CF/88 art 5, CP, Código Civil art 169","CF/88 art. 5º, CC art. 169",1
"CF/88 art 5, CPC/2015 Art 1, CTB Art 1","CF/88 art. 5º, CPC/2015 art. 1º, CTB art. 1º",1
"CF/88 art 5, CPC/2015 Art 1, Lei nº 6.938/1981 Art 5, Lei nº 9.784/1999 Art 2","CF/88 art. 5º, CPC/2015 art. 1º, Lei nº 6.938/1981 art. 5º, Lei nº 9.784/1999 art. 2º",1
"CF/88 art 5, CPC/2015 Art 202, Lei nº 7.998/1990 Art 7","CF/88 art. 5º, CPC/2015 art. 202, Lei nº 7.998/1990 art. 7º",1
"CF/88 art 5, CPC/2015 Art 219, Lei nº 8.429/1992 Art 23","CF/88 art. 5º, CPC/2015 art. 219, Lei nº 8.429/1992 art. 23",1
"CF/88 art 5, CPC/2015 Art 300, CTB Art 150, Lei nº 9.784/1999 art 54","CF/88 art. 5º, CPC/2015 art. 300, CTB art. 150, Lei nº 9.784/1999 art. 54",1
"CF/88 art 5, CPC/2015 Art 300, Lei nº 6.530/1978 Art 1","CF/88 art. 5º, CPC/2015 art. 300, Lei nº 6.530/1978 art. 1º",1
"CF/88 art 5, CPC/2015 Art 300, Lei nº 8.429/1992 Art 7","CF/88 art. 5º, CPC/2015 art. 300, Lei nº 8.429/1992 art. 7º",1
"CF/88 art 5, CPC/2015 Art 331, Lei nº 8.213/1991 Art 20, Lei nº 8.742/1993 art 20","CF/88 art. 5º, CPC/2015 art. 331, Lei nº 8.213/1991 art. 20, Lei nº 8.742/1993 art. 20",1
"CF/88 art 5, CPC/2015 Art 369, CPC/2015 Art 373, Lei nº 8.429/1992 Art 11","CF/88 art. 5º, CPC/2015 art. 369, CPC/2015 art. 373, Lei nº 8.429/1992 art. 11",1
"CF/88 art 5, CPC/2015 Art 373, CPC/2015 Art 396, CPC/2015 Art 535","CF/88 art. 5º, CPC/2015 art. 373, CPC/2015 art. 396, CPC/2015 art. 535",1
"CF/88 art 5, CPC/2015 Art 437, CPC/2015 art 319, Lei nº 6.830/1980 Art 2","CF/88 art. 5º, CPC/2015 art. 437, CPC/2015 art. 319, Lei nº 6.830/1980 art. 2º",1
"CF/88 art 5, CPC/2015 Art 473, Lei nº 8.213/1991 Art 59, Resolução CFM 1.931/2009 Art 93","CF/88 art. 5º, CPC/2015 art. 473, Lei nº 8.213/1991 art. 59, Resolução CFM 1.931/2009 art. 93",1
"CF/88 art 5, CPC/2015 Art 485, CPC/2015 Art 927, CTB Art 29","CF/88 art. 5º, CPC/2015 art. 485, CPC/2015 art. 927, CTB art. 29",1
"CF/88 art 5, CPC/2015 Art 485, CPC/2015 art 371","CF/88 art. 5º, CPC/2015 art. 485, CPC/2015 art. 371",1
"CF/88 art 5, CPC/2015 Art 535","CF/88 art. 5º, CPC/2015 art. 535",1
"CF/88 art 5, CPC/2015 Art 535, CTB art 165, Lei nº 9.430/1996 art 10","CF/88 art. 5º, CPC/2015 art. 535, CTB art. 165, Lei nº 9.430/1996 art. 10",1
"CF/88 art 5, CPC/2015 Art 535, Lei nº 11.101/2005 art 49, Lei nº 11.101/2005 art 6","CF/88 art. 5º, CPC/2015 art. 535, Lei nº 11.101/2005 art. 49, Lei nº 11.101/2005 art. 6º",1
"CF/88 art 5, CPC/2015 Art 535, Lei nº 6.830/1980","CF/88 art. 5º, CPC/2015 art. 535, Lei nº 6.830/1980",1
"CF/88 art 5, CPC/2015 Art 535, Lei nº 6.830/1980 Art 2","CF/88 art. 5º, CPC/2015 art. 535, Lei nº 6.830/1980 art. 2º",1
"CF/88 art 5, CPC/2015 Art 537","CF/88 art. 5º, CPC/2015 art. 537",1
"CF/88 art 5, CPC/2015 Art 7, Lei nº 8.437/1992 Art 1, Lei nº 9.784/1999 Art 2","CF/88 art. 5º, CPC/2015 art. 7º, Lei nº 8.437/1992 art. 1º, Lei nº 9.784/1999 art. 2º",1
"CF/88 art 5, CPC/2015 Art 927, Lei nº 8.078/1990","CF/88 art. 5º, CPC/2015 art. 927, Lei nº 8.078/1990",1
"CF/88 art 5, CPC/2015 Art 98, CPC/2015 Art 99, Lei nº 6.830/1980 Art 1","CF/88 art. 5º, CPC/2015 art. 98, CPC/2015 art. 99, Lei nº 6.830/1980 art. 1º",1
"CF/88 art 5, CPC/2015 art 1.012, Lei nº 4.132/1962","CF/88 art. 5º, CPC/2015 art. 1.012, Lei nº 4.132/1962",1
"CF/88 art 5, CPC/2015 art 10, CPC/2015 art 489, Lei nº 8.112/1990 Art 37","CF/88 art. 5º, CPC/2015 art. 10, CPC/2015 art. 489, Lei nº 8.112/1990 art. 37",1
"CF/88 art 5, CPC/2015 art 10, Lei nº 8.429/1992 Art 10, Lei nº 8.429/1992 Art 11","CF/88 art. 5º, CPC/2015 art. 10, Lei nº 8.429/1992 art. 10, Lei nº 8.429/1992 art. 11",1
"CF/88 art 5, CPC/2015 art 239","CF/88 art. 5º, CPC/2015 art. 239",1
"CF/88 art 5, CPC/2015 art 246, Código Civil art 294","CF/88 art. 5º, CPC/2015 art. 246, CC art. 294",1
"CF/88 art 5, CPC/2015 art 272, Lei nº 11.419 2006","CF/88 art. 5º, CPC/2015 art. 272, Lei nº 11.419/2006",1
"CF/88 art 5, CPC/2015 art 292, CPC/2015 art 775","CF/88 art. 5º, CPC/2015 art. 292, CPC/2015 art. 775",1
"CF/88 art 5, CPC/2015 art 319, Lei nº 9.507/1997 Art 1","CF/88 art. 5º, CPC/2015 art. 319, Lei nº 9.507/1997 art. 1º",1
"CF/88 art 5, CPC/2015 art 332, Lei nº 4.320/1964 Art 36, Lei nº 6.830/1980 Art 2","CF/88 art. 5º, CPC/2015 art. 332, Lei nº 4.320/1964 art. 36, Lei nº 6.830/1980 art. 2º",1
"CF/88 art 5, CPC/2015 art 371","CF/88 art. 5º, CPC/2015 art. 371",1
"CF/88 art 5, CPC/2015 art 479, Lei nº 4.132/1962","CF/88 art. 5º, CPC/2015 art. 479, Lei nº 4.132/1962",1
"CF/88 art 5, CPC/2015 art 487, CPC/2015 art 534, CPC/2015 art 966, CPC/2015 art 975","CF/88 art. 5º, CPC/2015 art. 487, CPC/2015 art. 534, CPC/2015 art. 966, CPC/2015 art. 975",1
"CF/88 art 5, CPC/2015 art 489, CPP art 156","CF/88 art. 5º, CPC/2015 art. 489, CPP art. 156",1
"CF/88 art 5, CPC/2015 art 509, CPC/2015 art 534","CF/88 art. 5º, CPC/2015 art. 509, CPC/2015 art. 534",1
"CF/88 art 5, CPC/2015 art 55, Lei nº 6.830/1980 art 16","CF/88 art. 5º, CPC/2015 art. 55, Lei nº 6.830/1980 art. 16",1
"CF/88 art 5, CPC/2015 art 647, Lei nº 8.072/1990 art 1, Lei nº 8.137/1990 art 1","CF/88 art. 5º, CPC/2015 art. 647, Lei nº 8.072/1990 art. 1º, Lei nº 8.137/1990 art. 1º",1
"CF/88 art 5, CPC/2015 art 792 IV, Lei nº 10.522/2002 art 2, Lei nº 4.657/1942","CF/88 art. 5º, CPC/2015 art. 792 inc. IV, Lei nº 10.522/2002 art. 2º, Lei nº 4.657/1942",1
