before,after,rows
"CF/88, Lei nº 10.637/2002, Lei nº 10.833/2003, Lei nº 9.718/1998","Lei nº 10.637/2002, Lei nº 10.833/2003, Lei nº 9.718/1998",2
"CF/88, Lei nº 10.826/2003 Art 14",Lei nº 10.826/2003 art. 14,2
"CF/88, Lei nº 10.887 2004",Lei nº 10.887/2004,2
"CF/88, Lei nº 11.343/2006",Lei nº 11.343/2006,2
"CF/88, Lei nº 11.416 2006",Lei nº 11.416/2006,2
"CF/88, Lei nº 11.416/2006",Lei nº 11.416/2006,2
"CF/88, Lei nº 11.784/2008",Lei nº 11.784/2008,2
"CF/88, Lei nº 11.941 2009, Portaria Conjunta PGFN RFB 06 2009","Lei nº 11.941/2009, Portaria Conjunta PGFN RFB 06 2009",2
"CF/88, Lei nº 12.016/2009, Lei nº 8.437/1992","Lei nº 12.016/2009, Lei nº 8.437/1992",2
"CF/88, Lei nº 12.764/2012",Lei nº 12.764/2012,2
"CF/88, Lei nº 12.990/2014 art 3º § 1º",Lei nº 12.990/2014 art. 3º § 1º,2
"CF/88, Lei nº 13.411/2016",Lei nº 13.411/2016,2
"CF/88, Lei nº 13.496/2017",Lei nº 13.496/2017,2
"CF/88, Lei nº 13.964/2019",Lei nº 13.964/2019,2
"CF/88, Lei nº 14.128 2021",Lei nº 14.128/2021,2
"CF/88, Lei nº 14.230 2021",Lei nº 14.230/2021,2
"CF/88, Lei nº 14.230 2021, Lei nº 8.429 1992","Lei nº 14.230/2021, Lei nº 8.429/1992",2
"CF/88, Lei nº 3.999 1961",Lei nº 3.999/1961,2
"CF/88, Lei nº 4.504/1964",Lei nº 4.504/1964,2
"CF/88, Lei nº 6.360/1976",Lei nº 6.360/1976,2
"CF/88, Lei nº 6.495 1981",Lei nº 6.495/1981,2
"CF/88, Lei nº 6.538/1978",Lei nº 6.538/1978,2
"CF/88, Lei nº 6.880 1980",Lei nº 6.880/1980,2
"CF/88, Lei nº 7.492/1986 art 19",Lei nº 7.492/1986 art. 19,2
"CF/88, Lei nº 7.998/1990 art 3º inciso V",Lei nº 7.998/1990 art. 3º inc. V,2
"CF/88, Lei nº 8.036/1990",Lei nº 8.036/1990,2
"CF/88, Lei nº 8.036/1990 Art 20",Lei nº 8.036/1990 art. 20,2
"CF/88, Lei nº 8.112/1990 art 202",Lei nº 8.112/1990 art. 202,2
"CF/88, Lei nº 8.112/1990 art. 100",Lei nº 8.112/1990 art. 100,2
"CF/88, Lei nº 8.137 1990",Lei nº 8.137/1990,2
"CF/88, Lei nº 8.213 1991, Lei nº 8.213 1991 Art 45","Lei nº 8.213/1991, Lei nº 8.213/1991 art. 45",2
"CF/88, Lei nº 8.429 1992",Lei nº 8.429/1992,2
"CF/88, Lei nº 8.745 1993 art 9º III",Lei nº 8.745/1993 art. 9º III,2
"CF/88, Lei nº 8.878/1994",Lei nº 8.878/1994,2
"CF/88, Lei nº 8.906/1994 art 22 § 4º",Lei nº 8.906/1994 art. 22 § 4º,2
"CF/88, Lei nº 8.989/1995",Lei nº 8.989/1995,2
"CF/88, Lei nº 9.279/1996",Lei nº 9.279/1996,2
"CF/88, Lei nº 9.289/1996",Lei nº 9.289/1996,2
"CF/88, Lei nº 9.394 1996",Lei nº 9.394/1996,2
"CF/88, Lei nº 9.425/1996",Lei nº 9.425/1996,2
"CF/88, Lei nº 9.472/1997",Lei nº 9.472/1997,2
"CF/88, Lei nº 9.474/1997",Lei nº 9.474/1997,2
"CF/88, Lei nº 9.605/1998",Lei nº 9.605/1998,2
"CF/88, Lei nº 9.656/1998, Resolução Normativa 124/2006","Lei nº 9.656/1998, Resolução Normativa 124/2006",2
"CF/88, Lei nº 9.717 1998",Lei nº 9.717/1998,2
"CF/88, Lei nº 9.782/1999",Lei nº 9.782/1999,2
"CF/88, Lei nº 9.784/1999",Lei nº 9.784/1999,2
"CF/88, Recomendação 62 2020 CNJ",Recomendação 62 2020 CNJ,2
"CP Art 149, CP Art 297 § 4º","CP art. 149, CP art. 297 § 4º",2
CP art 139,CP art. 139,2
"CP art 155 § 4º I, CP art 155 § 4º IV","CP art. 155 § 4º inc. I, CP art. 155 § 4º inc. IV",2
CP art 299,CP art. 299,2
CP art 334 § 1º c,CP art. 334 § 1º inc. C,2
CP art 91 II b,CP art. 91 inc. II al. b,2
CP artigo 138,CP art. 138,2
"CPC/1973, CPC/2015",,2
CPC/2015 Art 1013 § 3º,CPC/2015 art. 1013 § 3º,2
CPC/2015 Art 47,CPC/2015 art. 47,2
CPC/2015 Art 537,CPC/2015 art. 537,2
"CPC/2015 art 114, CPC/2015 art 115 I, Lei 8.213 1991 art 16 I","CPC/2015 art. 114, CPC/2015 art. 115 inc. I, Lei nº 8.213/1991 art. 16 inc. I",2
CPC/2015 art 144 VII,CPC/2015 art. 144 inc. VII,2
CPC/2015 art 319,CPC/2015 art. 319,2
CPC/2015 art 373 I,CPC/2015 art. 373 inc. I,2
CPC/2015 art 516 parágrafo único,CPC/2015 art. 516 § único,2
CPC/2015 art 69,CPC/2015 art. 69,2
CPC/2015 art 833 inciso X,CPC/2015 art. 833 inc. X,2
CPC/2015 art 90,CPC/2015 art. 90,2
CPC/2015 art 924 II,CPC/2015 art. 924 inc. II,2
CPC/2015 art 966 VIII,CPC/2015 art. 966 inc. VIII,2
"CPP art 191, CPP art 210","CPP art. 191, CPP art. 210",2
CPP art 319,CPP art. 319,2
CPP art 70,CPP art. 70,2
CPP artigo 564,CPP art. 564,2
CTN art 124 I,CTN art. 124 inc. I,2
CTN art 135,CTN art. 135,2
CTN art 185,CTN art. 185,2
"Código Civil art 186, Código Civil art 927","CC art. 186, CC art. 927",2
Código Civil art 50,CC art. 50,2
"DL 37 1966 art 104, DL 37 1966 art 95, Decreto 6759 2009 art 668","DL nº 37/1966 art. 104, DL nº 37/1966 art. 95, Decreto nº 6.759/2009 art. 668",2
DL nº 20910 1932 Art 1º,DL nº 20.910/1932 art. 1º,2
"DL nº 3.365/1941 Art 20, DL nº 3.365/1941 art 34 parágrafo único","DL nº 3.365/1941 art. 20, DL nº 3.365/1941 art. 34 § único",2
DL nº 3.365/1941 art 34 parágrafo único,DL nº 3.365/1941 art. 34 § único,2
"Decreto 3.142/1999, Decreto 6.003/2006, Lei nº 9.424/1996 art 15","Decreto nº 3.142/1999, Decreto nº 6.003/2006, Lei nº 9.424/1996 art. 15",2
Decreto 9.739 2019,Decreto nº 9.739/2019,2
Lei 10.259/2001 art 3º § 1º III,Lei nº 10.259/2001 art. 3º § 1º inc. III,2
Lei 8.112 102,Lei nº 8.112 102,2
"Lei 8.176 1991 art 2º, Lei 9.605 1998 art 55","Lei nº 8.176/1991 art. 2º, Lei nº 9.605/1998 art. 55",2
"Lei nº 10.259/2001 art 1º, Lei nº 9.099/1995 art 2º","Lei nº 10.259/2001 art. 1º, Lei nº 9.099/1995 art. 2º",2
"Lei nº 12.336/2010, Lei nº 5.292/1967 art 4º","Lei nº 12.336/2010, Lei nº 5.292/1967 art. 4º",2
Lei nº 8.025/1990 Art 15 inciso I alínea e,Lei nº 8.025/1990 art. 15 inc. I al. e,2
Lei nº 8.112/1990 Art 217,Lei nº 8.112/1990 art. 217,2
"Lei nº 8.176 1991 art 2º, Lei nº 9.605 1998 art 55","Lei nº 8.176/1991 art. 2º, Lei nº 9.605/1998 art. 55",2
"Lei nº 8.213 1991 art 120, Lei nº 8.213 1991 art 121","Lei nº 8.213/1991 art. 120, Lei nº 8.213/1991 art. 121",2
Lei nº 8.213/1991 art 112,Lei nº 8.213/1991 art. 112,2
Lei nº 8.629/1993 art 2º § 6º,Lei nº 8.629/1993 art. 2º § 6º,2
Lei nº 8.989 1995,Lei nº 8.989/1995,2
Lei nº 9.032 1995,Lei nº 9.032/1995,2
Lei nº 9.394 1996,Lei nº 9.394/1996,2
Lei nº 9.532/1997 art 64,Lei nº 9.532/1997 art. 64,2
Lei nº 9.784/1999 art 54,Lei nº 9.784/1999 art. 54,2
MP 2.196-3/2001,MP nº 2.196-3/2001,2
Regulamento dos Colégios Militares inciso III do art 52,Regulamento dos Colégios Militares inc. III do art. 52,2
709,,1
"ABNT NBR 14.653, CF/88",ABNT NBR 14.653,1
"ACE 27 Acordo de Complementação Econômica 27, Decreto 1.381 1995, Resolução 78 1987 Aladi","ACE 27 Acordo de Complementação Econômica 27, Decreto nº 1.381/1995, Resolução 78 1987 Aladi",1
"ADCT 1988 art 19, Lei nº 3.917/1961 art 44, Lei nº 7.501/1986 art 67, Lei nº 8.112/1990 art 243, Lei nº 8.754/1993","ADCT 1988 art. 19, Lei nº 3.917/1961 art. 44, Lei nº 7.501/1986 art. 67, Lei nº 8.112/1990 art. 243, Lei nº 8.754/1993",1
"ADCT Art 10 inciso II alinea b, CF/88 art 7º inciso XVIII, Decreto 6.690/2008, Lei 6.690/2008 § 2º do art 2º, Lei nº 8.112/1990","ADCT art. 10 inc. II al. b, CF/88 art. 7º inc. XVIII, Decreto nº 6.690/2008, Lei nº 6.690/2008 § 2º do art. 2º, Lei nº 8.112/1990",1
"ADCT Art 19, CF 1988 art 201 § 9º, EC 20 1998","ADCT art. 19, CF/88 art. 201 § 9º, EC 20/1998",1
"ADCT Art 19, CF/88 Art 173 § 1º II, CF/88 art 37 II, DL nº 20910 1932 Art 1º, Lei nº 8.112 1990 Art 243","ADCT art. 19, CF/88 art. 173 § 1º inc. II, CF/88 art. 37 inc. II, DL nº 20.910/1932 art. 1º, Lei nº 8.112/1990 art. 243",1
"ADCT Art 19, CF/88 Art 201, CF/88 art 40, CF/88 art 5, Lei nº 8.213/1991 Art 74","ADCT art. 19, CF/88 art. 201, CF/88 art. 40, CF/88 art. 5º, Lei nº 8.213/1991 art. 74",1
"ADCT Art 19, CF/88 Art 37, Lei nº 8.112/1990","ADCT art. 19, CF/88 art. 37, Lei nº 8.112/1990",1
"ADCT Art 19, CF/88 art 41","ADCT art. 19, CF/88 art. 41",1
"ADCT Art 19, CF/88 artigo 37, CF/88 artigo 5, Lei nº 8.112/1990 artigo 183","ADCT art. 19, CF/88 art. 37, CF/88 art. 5º, Lei nº 8.112/1990 art. 183",1
"ADCT Art 19, Lei nº 11.440/2006 art 57, Lei nº 7.501/1986 art 67, Lei nº 7.501/1986 arts 66, Lei nº 8.112/1990 Art 243 §6º","ADCT art. 19, Lei nº 11.440/2006 art. 57, Lei nº 7.501/1986 art. 67, Lei nº 7.501/1986 art. 66, Lei nº 8.112/1990 art. 243 § 6º",1
"ADCT Art 19, Lei nº 8.112 1990 Art 243, Prescrição quinquenal","ADCT art. 19, Lei nº 8.112/1990 art. 243, Prescrição quinquenal",1
"ADCT Art 54, Lei nº 7.986/1989","ADCT art. 54, Lei nº 7.986/1989",1
"ADCT Art 78, EC 30 2000","ADCT art. 78, EC 30/2000",1
