row_idx,ID,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,match_stage,qtd_candidatos_total,link_1,link_2,link_3,hrefs_ordenados_todos
14818,14819,Matéria processual,82431,AgR-REspe,Min. Castro Meira,9/3/2013,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=82431/processoClasse=RESPE/decisaoData=20130903,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48139,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=82431/processoClasse=RESPE/decisaoData=20130903 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48139
14825,14826,Matéria processual,30395,AgR-AI,Min. Dias Toffoli,10/17/2013,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=30395/processoClasse=AI/decisaoData=20131017,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48405,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=30395/processoClasse=AI/decisaoData=20131017 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48405
14827,14828,Matéria processual,327287,AgR-AI,Min. Laurita Vaz,12/12/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=327287/processoClasse=AI/decisaoData=20131212,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49170,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=327287/processoClasse=AI/decisaoData=20131212 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49170
14831,14832,Matéria processual,4032,AgR-REspe,Min. Laurita Vaz,12/17/2012,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=4032/processoClasse=RESPE/decisaoData=20121217,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47474,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=4032/processoClasse=RESPE/decisaoData=20121217 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47474
14832,14833,Matéria processual,18051,AgR-REspe,Min. Dias Toffoli,10/11/2012,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=18051/processoClasse=RESPE/decisaoData=20121011,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/46277,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=18051/processoClasse=RESPE/decisaoData=20121011 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/46277
14839,14840,Matéria processual,8184,AgRgAg,Min. José Delgado,8/7/2007,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8184/processoClasse=AG/decisaoData=20070807,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28852,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8184/processoClasse=AG/decisaoData=20070807 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28852
14850,14851,Matéria processual,967904,REspe,Min. Nancy Andrighi,5/8/2012,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509
14851,14852,Matéria processual,14555,AgR-REspe,Min. Laurita Vaz,11/21/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=14555/processoClasse=RESPE/decisaoData=20131121,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49004,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=14555/processoClasse=RESPE/decisaoData=20131121 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/49004
14854,14855,Matéria processual,967904,REspe,Min. Nancy Andrighi,5/8/2012,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509
14856,14857,Matéria processual,27930,AgRgREspe,Min. Marcelo Ribeiro,11/8/2007,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=27930/processoClasse=RESPE/decisaoData=20071108,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/29280,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=27930/processoClasse=RESPE/decisaoData=20071108 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/29280
14864,14865,Matéria processual,967904,REspe,Min. Nancy Andrighi,5/8/2012,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=967904/processoClasse=RESPE/decisaoData=20120508 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/44509
14887,14888,Matéria processual,39816,Cta,Min. Maria Thereza de Assis Moura,12/3/2015,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=39816/processoClasse=CTA/decisaoData=20151203,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/52730,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=39816/processoClasse=CTA/decisaoData=20151203 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/52730
14896,14897,Matéria processual,1694,Ac.,Min. Luciana Lóssio,8/26/2014,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250
14904,14905,Matéria processual,1694,Cta,Min. Luciana Lóssio,8/26/2014,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250
14913,14914,Matéria processual,8208,Ac.,Min. Dias Toffoli,8/7/2012,C_processo,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8208/processoClasse=PA/decisaoData=20120807,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/45068,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8208/processoClasse=PA/decisaoData=20120807 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/45068
15050,15051,Matéria processual,1694,Cta,Min. Luciana Lóssio,8/26/2014,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1694/processoClasse=CTA/decisaoData=20140826 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50250
15052,15053,Matéria processual,8208,PA,Min. Dias Toffoli,8/7/2012,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8208/processoClasse=PA/decisaoData=20120807,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/45068,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8208/processoClasse=PA/decisaoData=20120807 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/45068
15090,15091,Matéria processual,52851,AgR-AI,Min. João Otávio de Noronha,8/19/2014,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=52851/processoClasse=AI/decisaoData=20140819,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50436,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=52851/processoClasse=AI/decisaoData=20140819 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/50436
15092,15093,Matéria processual,21853,AgR-REspe,Min. Henrique Neves da Silva,10/8/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=21853/processoClasse=RESPE/decisaoData=20131008,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48302,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=21853/processoClasse=RESPE/decisaoData=20131008 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48302
15095,15096,Matéria processual,435767,AgR-AI,Min. Dias Toffoli,5/21/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=435767/processoClasse=AI/decisaoData=20130521,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48292,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=435767/processoClasse=AI/decisaoData=20130521 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48292
