ID_novo,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,link_1,fonte_html,texto_citacao_raw
25955,Inelegibilidades e condições de elegibilidade,987,Cta,Min. Fernando Neves,12/18/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=987/processoClasse=CTA/decisaoData=20031218,local,"Res. nº 21601 na Cta nº 987, de 18.12.2003, rel. Min. Fernando Neves.)"
25956,Inelegibilidades e condições de elegibilidade,991,Res.,Min. Carlos Velloso,3/16/2004,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=991/processoClasse=CTA/decisaoData=20040316,local,"(Res. nº 21660, de 16.3.2004, rel. Min. Carlos Velloso.)"
25957,Inelegibilidades e condições de elegibilidade,994,Cta,Min. Ellen Gracie,2/19/2004,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=994/processoClasse=CTA/decisaoData=20040219,local,"(Res. nº 21636 na Cta nº 994, de 19.2.2004, rel. Min. Ellen Gracie.)"
25958,Mandato eletivo,10890,Res.,Min. Célio Borja,4/3/1990,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=10890/processoClasse=AIM/decisaoData=19900403,local,"(Res. nº 16379 na AIM nº 10890, de 3.4.90, rel. Min. Célio Borja.)"
25959,Mandato eletivo,1204,Cta,Min. Cezar Peluso,6/8/2006,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1204/processoClasse=CTA/decisaoData=20060608,local,"(Res. n º 22236 na Cta nº 1204, de 8.6.2006, rel. Min. Cezar Peluso.)"
25960,Mandato eletivo,12232,Cta,Min. Paulo Brossard,10/3/1991,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/18052,local,"(Res. nº 17643 na Cta nº 12232, de 3.10.91, rel. Min. Paulo Brossard.)"
25961,Mandato eletivo,12782,Cta,Min. Sepúlveda Pertence,6/9/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/12969,local,"(Res. nº 18256 na Cta nº 12782, de 9.6.92, rel. Min. Sepúlveda Pertence.)"
25962,Mandato eletivo,13415,Cta,Min. Torquato Jardim,12/10/1992,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/15337,local,"(Res. n º 18848 na Cta nº 13415, de 10.12.92, rel. Min. Torquato Jardim.)"
25963,Mandato eletivo,1417,Cta,Min. Marcelo Ribeiro,6/3/2008,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/30309,local,"(Res. n º 22817 na Cta nº 1417, de 3.6.2008, rel. Min. Marcelo Ribeiro.)"
25964,Mandato eletivo,1423,Cta,Min. José Delgado,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1423/processoClasse=CTA/decisaoData=20070801,local,"(Res. nº 22563 na Cta nº 1423, de 1º.8.2007, rel. Min. José Delgado.)"
